Supplier.Number,accountsPayable,accountsReceivable,bankCashBalances,bankOverdraft,debitOwnedWithinOneYear,financialAssets,fixedAssets,intangibleAssets,otherCurrentAssets,otherCurrentLiabilities,otherEquity,otherTermAssets,otherTermLiabilities,prepayments,retainedEarnings,subscribedCapital,termLoans,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalInventories,totalLiabilities,totalShareholderEquity,totalTermAssets,totalTermLiabilities,accountPayableAccrualFromCashFlow,capitalExpenditure,changeInInventoriesFromCashFlow,netChangeInCashAndCashEquivalents,netFundingCashFlow,netInvestingCashFlow,unbilledAccountsReceivableRevenueFromCashFlow,currency,financialDate,period,abnormalItems,amortization,companyTaxExpense,costOfGoodsSold,depreciation,earningsBeforeInterestAndTax,grossProfit,interestExpense,interestReceived,investmentIncome,netInvestmentIncome,netProfitAfterTax,netProfitAfterTaxAndMinorityInterests,netProfitBeforeTax,netSurplus,otherIncome,otherInvestmentExpense,otherOperatingExpense,totalOperatingExpense,totalOperatingRevenue,totalStaffCosts,salesRevenue,RRID,id,eqyYear,CHS,FHR,Group,Parent.ID,X.Other.Currency.to.USD,Inflation.Rate....,inf_factor,diff_days
591527,,,259.806659,,181.7822619,198.8441722,1708.38835,,,,,,,,,,511.2556632,2728.381917,632.0688987,508.9667906,,1116.211231,1612.170686,,,,,,,,,,JPY,2024-06-30,Q1,-1.99458898,,46.36601924,,,136.129063,,1.83109808,1.229451568,,,111.5531109,,,,,,,,,,1483.45103,DywRO1a,2025Q1,2025,62,75,F3,P185927,0.006539636,,1.0,365
591674,,,7313.523445,,2186.762723,4136.13666,13114.18058,,,,,,,,,,8571.553222,64577.34907,29133.14321,21592.09929,,31513.09986,33064.2492,,,,,,,-643.866402,-4365.063158,,JPY,2024-06-30,Q1,,,562.6506625,,,2317.326556,,,,,,2191.968274,,,,,,,,,,56165.10792,AzY5rXa,2025Q1,2025,32,48,PU,P574123,0.006539636,,1.0,365
594416P,,,470.2194473,,67.77024787,48.47832167,576.7043403,,,,,,,,,,206.0312322,1869.891201,1046.531409,585.8598307,,918.0079431,951.8832576,,,,,,,,,,JPY,2024-06-30,Q1,0.071935996,,34.50311954,,,113.6196359,,1.824558444,4.355397576,,,91.67915708,,,,,,,,,,2147.564145,Wa9QjLa,2025Q1,2025,63,84,F3,P611169,0.006539636,,1.0,365
595248,,,67.94000246,,139.6445693,71.65285582,240.5495632,,,,,,,,,,44.703348,996.8515385,580.6408208,428.843303,,484.3836494,512.4678889,,,,,,,31.7156175,-91.06106995,,KRW,2024-06-30,Q2,,,9.524072345,,,78.97339433,,8.984691606,3.18157614,,,78.76351276,,,,,,,,,,1297.289299,ZD8RzOa,2024Q2,2024,57,54,F0,P445290,0.000733056,2.90%,1.017,365
60290,,,23605.587,,11462.607,37638.153,111262.851,,,,,,,,,,43248.942,284239.296,93356.532,83760.12,,162171.837,122067.459,,,,,,,-25368.048,-13875.948,,USD,2024-06-30,Q2,,,12620.97,,,33550.83,,2866.923,,,,21741.426,,,,,,,,,,213818.148,VAo3WXA,2024Q2,2024,75,81,"A3, HDM F1",P190774,1.0,2.90%,1.017,365
61350,,,513.585,,18.306,52.884,535.959,,,,,,,,,,314.253,2777.427,1668.897,902.079,,1559.061,1218.366,,,,,,,-137.295,-148.482,,USD,2024-06-30,Q2,-6.102,,-234.927,,,345.78,,16.272,15.255,,,572.571,,,,,,,,,,4018.167,4aNpBlD,2024Q2,2024,76,92,"A3, F0",P412560,1.0,2.90%,1.017,365
70260,,,802.413,,1671.948,,9512.001,,,,,,,,,,6948.144,22399.425,8343.468,7840.053,,17461.89,4937.535,,,,,,,-318.321,-892.926,,USD,2024-06-30,Q2,-687.492,,80.343,,,75.258,,531.891,78.309,,,-364.086,,,,,,,,,,19694.205,Ga0POwa,2024Q2,2024,21,25,"F3, HDM F3",P894700,1.0,2.90%,1.017,365
70780,32.4934551,30.76812477,10.483236,0.0,0.0,,42.9927597,,27.14471649,8.26727436,-6.42005658,45.06538536,31.1652531,,91.88266509,9.178425,26.79942465,193.3664712,105.3083262,40.76072946,36.91224891,98.72540721,94.64103351,88.05814506,57.96467775,,-4.742271,,,,,,USD,2024-06-30,Q2,,,-3.16732446,227.4049222,9.3661632,15.74750259,42.10322031,2.37797991,,0.9005535,-6.45810255,12.4567245,12.4567245,9.28940004,12.4567245,0.0,4.98067614,16.98955452,26.35571772,269.5081425,,269.5081425,a7Or3Wa,2024Q2,2024,56,67,A3,P249920,1.0,2.90%,1.017,365
70940,,,387.3486546,,41.5944864,471.8374551,2218.805884,,,,,,,,,,1719.672047,7795.066717,1930.244135,1800.261365,,4646.884028,3148.182689,,,,,,,-54.5927634,-175.4767395,,GBP,2024-06-30,Q2,-707.1062688,,-102.6863883,,,-607.0195359,,64.991385,,,,-664.2119547,,,,,,,,,,5980.507248,AZ1Z11a,2024S1,2024,13,33,"PU, HDM A1",P328174,1.2781,2.90%,1.017,365
71246,,,185.9414704,,261.7096931,,390.2200801,,,,,,,,,,142.7079368,1255.4597,680.0371287,495.6717106,,731.0855273,524.374173,,,,,,,-39.33591054,-63.55218265,,JPY,2024-06-30,Q1,0.0,,18.44177352,,,43.02426524,,11.01274702,2.046906068,,,24.32090628,,,,,,,,,,863.0619215,2AzbgkA,2025Q1,2025,49,53,"A1, HDM F1",P646110,0.006539636,,1.0,365
80480,,,2040.50758,,1644.292516,272.9481552,4210.885652,,,,,,,,,,2315.65693,37169.37539,10719.81868,9663.245172,,14524.58389,22644.79151,,,,,,,-528.286752,-2558.888955,,EUR,2024-06-30,Q2,-243.2320254,,755.0098164,,,2880.263396,,114.4621296,112.2609348,,,1987.678904,,,,,,,,,,23553.88496,XALWyla,2024S1,2024,51,65,A2,P712635,1.0822,2.90%,1.017,365
81160,,,5527.470378,,4047.197611,7809.894897,8378.071552,,,,,,,,,,6518.97075,87661.12625,42247.65731,36820.55073,,47504.17749,40156.94876,,,,,,,-5253.230742,-2132.411809,,JPY,2024-06-30,Q1,344.4033903,,1509.759986,,,5725.830617,,474.1301496,267.8307924,,,4785.901814,,,,,,,,,,62895.93672,YaKN4jJ,2025Q1,2025,58,57,"A1, F0, PU, HDM F1",P689834,0.006539636,,1.0,365
90220,,,2453.231605,,5532.70313,11697.14917,27910.04947,,,,,,,,,,20583.37257,90740.95384,37148.46404,21920.59842,,50325.91671,40415.03713,,,,,,,-2856.050253,-6628.89814,,EUR,2024-06-30,Q2,,,780.3235566,,,1765.35823,,1004.845426,418.227012,,,110.05974,,,,,,,,,,71835.9923,XAZN5qA,2024Q2,2024,24,47,A0,P615901,1.0822,2.90%,1.017,365
91034,,,284.3956904,,1196.517961,663.4002947,1842.320095,,,,,,,,,,969.141357,6362.163358,3483.343655,2729.062039,,4141.198338,2220.96502,,,,,,,,,,JPY,2024-06-30,Q1,-5.545611328,,58.13736404,,,108.7149089,,60.9821057,11.1173812,,,101.8221325,,,,,,,,,,7086.840042,adNqWpD,2025Q1,2025,18,34,"F0, HDM F2",P875711,0.006539636,,1.0,365
91080,,,4198.943324,,5081.454123,15160.7335,23030.64918,,,,,,,,,,15349.71591,73011.54377,31681.31892,16908.96786,,36273.56903,36737.97474,,,,,,,-2800.448705,-3550.996189,,JPY,2024-06-30,Q1,-810.7186749,,1205.15682,,,5015.495355,,,,,,3704.317955,,,,,,,,,,57939.99129,VAoRnYa,2025Q1,2025,58,59,A1,P969376,0.006539636,,1.0,365
92140,,,16.26871091,0.0,0.0,,,,67.64364544,55.99430778,72.30915739,64.28945975,11.50806815,,-27.25975695,0.0,35.6500399,148.2018165,83.91235676,55.99430737,,103.1524153,45.04940015,64.28945974,47.15810796,,,,,,,,USD,2024-06-30,Q2,,,0.0,227.9935812,12.79741437,0.842161428,16.64048249,3.188934327,,1.26798063,-1.920953331,-1.078791903,-1.078791903,-1.078791903,-1.078791903,0.0,0.0,3.000906648,15.79832106,244.6340636,,244.6340637,AjVQlVA,2024Q2,2024,19,37,A3,P0,1.0,2.90%,1.017,365
