Supplier.Number,accountsPayable,accountsReceivable,bankCashBalances,bankOverdraft,debitOwnedWithinOneYear,financialAssets,fixedAssets,intangibleAssets,otherCurrentAssets,otherCurrentLiabilities,otherEquity,otherTermAssets,otherTermLiabilities,prepayments,retainedEarnings,subscribedCapital,termLoans,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalInventories,totalLiabilities,totalShareholderEquity,totalTermAssets,totalTermLiabilities,accountPayableAccrualFromCashFlow,capitalExpenditure,changeInInventoriesFromCashFlow,netChangeInCashAndCashEquivalents,netFundingCashFlow,netInvestingCashFlow,unbilledAccountsReceivableRevenueFromCashFlow,currency,financialDate,period,abnormalItems,amortization,companyTaxExpense,costOfGoodsSold,depreciation,earningsBeforeInterestAndTax,grossProfit,interestExpense,interestReceived,investmentIncome,netInvestmentIncome,netProfitAfterTax,netProfitAfterTaxAndMinorityInterests,netProfitBeforeTax,netSurplus,otherIncome,otherInvestmentExpense,otherOperatingExpense,totalOperatingExpense,totalOperatingRevenue,totalStaffCosts,salesRevenue,RRID,id,eqyYear,CHS,FHR,Group,Parent.ID,X.Other.Currency.to.USD,Inflation.Rate....,inf_factor,diff_days
520446,,,25.00907684,,53.08681901,6.131693094,29.17679939,,,,,,,,,,36.177424,200.0572542,158.7176915,108.0358232,,146.3742908,53.68296339,,,,,,,,,,JPY,2024-06-30,Q2,-0.817548328,,0.486100918,,,4.414028558,,1.333288481,0.364318672,,,3.935097231,,,,,,,,,,268.6566747,DmwjYka,2024Q2,2024,31,33,A1,P599512,0.006607071,2.90%,1.017,365
520462,,,769.7347761,,1282.324525,1667.731433,2240.309263,,,,,,,,,,2487.76255,14013.41323,8159.549615,7011.542673,,11232.86463,2780.548593,,,,,,,-488.9358855,-326.9556415,,JPY,2024-06-30,Q1,,,-9.528249652,,,-361.2298737,,,,,,-339.2239986,,,,,,,,,,8974.322864,zJnKNea,2025Q1,2025,16,30,A1,P255111,0.006539636,,1.0,365
520568,,,749.0710042,,1222.874015,23.45902713,2767.702955,,,,,,,,,,6189.022941,18645.18854,5506.284358,3855.254207,,11220.11755,7425.070991,,,,,,,-1659.350594,-572.0304645,,CHF,2024-06-30,Q2,-14.21409033,,331.1998609,,,1977.145296,,228.0032538,29.81492118,,,1418.866675,,,,,,,,,,13552.96179,Wa92e3A,2024S1,2024,66,74,HDM A3,P865444,1.1363,2.90%,1.017,365
520873,59.551452,71.914104,6.633891,0.0,8.323128,,68.090184,7.602075,22.355694,28.046826,-6.68169,11.528712,26.209107,,,0.0,104.692014,220.142871,132.9219,95.921406,32.018211,226.822527,-6.68169,87.220971,130.901121,,,,,,,,USD,2024-06-30,Q2,-0.4429035,,1.070901,498.6813735,21.109869,-1.326168,52.707042,12.10131351,,1.521432,-12.432825,-14.829894,-14.829894,-13.758993,-14.829894,0.0,1.85294349,32.4804375,53.5903065,551.3884155,,551.3884155,D85ORPJ,2024Q2,2024,26,23,A3,P661635,1.0,2.90%,1.017,365
521031,,,323.1430337,,316.4987635,62.93091723,913.7375608,,,,,,,,,,89.45568084,2210.17462,1044.118284,787.1890646,,1008.24838,1201.92624,,,,,,,,,,JPY,2024-06-30,Q1,-16.36216927,,14.11253449,,,55.06373512,,15.27005006,22.65983874,,,54.83484786,,,,,,,,,,2194.270226,2AzZZRA,2025Q1,2025,42,58,A2,P456952,0.006539636,,1.0,365
521193,,,512.0823766,,1455.892947,100.2799155,2334.666439,,,,,,,,,,1882.110074,7242.014745,2812.521395,2979.80223,,5305.732332,1936.282414,,,,,,,128.6207022,-572.1119542,,KRW,2024-06-30,Q2,-16.27905172,,36.36943613,,,140.6388042,,171.4111426,20.48715538,,,-88.00887099,,,,,,,,,,7272.092037,QDgx5mJ,2024Q2,2024,27,31,A3,P616528,0.000733056,2.90%,1.017,365
521215,83.73866944,136.1506177,14.62238939,0.0,21.50332494,,204.2913791,,42.82896575,65.37372513,3.847538808,0.295660206,56.53254445,,85.41282331,1.704058758,175.6463304,493.7590152,289.1719758,170.6157195,95.57000301,402.7945943,90.96442088,204.5870393,232.1788748,7.054968663,,-0.195237558,,,,-34.00717112,USD,2024-06-30,Q2,,,0.373793265,701.9256657,21.78900126,24.54065138,95.34783122,11.60897059,,,-11.60897059,12.55788752,12.55788752,12.93168079,12.55788752,0.0,0.0,49.01817909,70.80718086,797.2734969,,797.2734969,aP6VYzD,2024Q2,2024,46,34,HDM A3,P0,1.0,2.90%,1.017,365
521406,,,51.27573227,,59.29688612,34.28030722,248.4466559,,,,,,,,,,117.082652,584.9455062,284.5990793,204.6516841,,344.9580419,239.9874643,,,,,,,-38.76193983,1.933749632,,EUR,2024-06-30,Q2,-0.79573192,,-1.977773528,,,-3.888410614,,12.50388706,,,,-14.35509189,,,,,,,,,,711.0112341,ABxZNqJ,2024Q2,2024,24,44,A2,P681782,1.0822,2.90%,1.017,365
521423,,,588.4258631,,615.0473631,344.7382039,1759.418689,,,,,,,,,,1102.404165,5082.337966,2657.814353,1901.952006,,3148.597615,1933.740351,,,,,,,-21.98629611,-267.2061592,,KRW,2024-06-30,Q2,,,99.32335548,,,221.6769576,,,23.83922943,,,162.1774764,,,,,,,,,,6384.824279,a6jW3Na,2024Q2,2024,51,53,F3,P749460,0.000733056,2.90%,1.017,365
521508,,,43.33162814,,63.8530059,10.24106998,103.6663099,,,,,,,,,,32.03767676,354.415573,229.1488454,157.4940538,,204.9848904,149.4306826,,,,,,,,,,JPY,2024-06-30,Q1,-0.026158544,,8.92660314,,,28.80055694,,1.249070476,0.150411628,,,22.81025037,,,,,,,,,,464.5234244,A4PlxZA,2025Q1,2025,71,76,A3,P488641,0.006539636,,1.0,365
