"","X.x","Supplier.Number","accountsPayable","accountsReceivable","bankCashBalances","bankOverdraft","debitOwnedWithinOneYear","financialAssets","fixedAssets","intangibleAssets","otherCurrentAssets","otherCurrentLiabilities","otherEquity","otherTermAssets","otherTermLiabilities","prepayments","retainedEarnings","subscribedCapital","termLoans","totalAssets","totalCurrentAssets","totalCurrentLiabilities","totalInventories","totalLiabilities","totalShareholderEquity","totalTermAssets","totalTermLiabilities","accountPayableAccrualFromCashFlow","capitalExpenditure","changeInInventoriesFromCashFlow","netChangeInCashAndCashEquivalents","netFundingCashFlow","netInvestingCashFlow","unbilledAccountsReceivableRevenueFromCashFlow","currency","financialDate","period","abnormalItems","amortization","companyTaxExpense","costOfGoodsSold","depreciation","earningsBeforeInterestAndTax","grossProfit","interestExpense","interestReceived","investmentIncome","netInvestmentIncome","netProfitAfterTax","netProfitAfterTaxAndMinorityInterests","netProfitBeforeTax","netSurplus","otherIncome","otherInvestmentExpense","otherOperatingExpense","totalOperatingExpense","totalOperatingRevenue","totalStaffCosts","salesRevenue","RRID","id","eqyYear","CHS","FHR","Data.Source","Group","Group.Classification","Parent.ID","X.y","count","USD.to.Other.Currency","X.Other.Currency.to.USD","Inflation.Rate...."
"11",10,"33198",NA,NA,140.233,NA,485.479,NA,2298.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,2541.929,7154.664,2114.463,1626.133,NA,4712.797,2441.867,NA,NA,NA,NA,NA,NA,-345.004,-635.516,NA,"USD","2024-06-30","Q2",-108.141,NA,106.293,NA,NA,551.108,NA,129.03,13.99,NA,NA,369.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,6607.241,"WJG75OJ","2024Q2",2024,56,51,"Public","A2, A3, HDM A3","Auto","P668552",NA,NA,NA,NA,"2.90%"
"12",11,"33198",NA,NA,172.213,NA,453.71,NA,2347.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,2630.424,7198.28,2064.604,1577.309,NA,4770.798,2427.482,NA,NA,NA,NA,NA,NA,-296.478,-698.101,NA,"USD","2024-03-31","Q1",-74.318,NA,119.726,NA,NA,598.595,NA,133.674,12.379,NA,NA,392.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,6689.052,"WJG75OJ","2024Q1",2024,59,55,"Public","A2, A3, HDM A3","Auto","P668552",NA,NA,NA,NA,"2.90%"
"13",12,"33198",NA,NA,151.937,NA,47.132,56.399,2315.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,3035.868,7191.957,2050.365,1165.277,NA,4760.122,2431.835,NA,NA,NA,NA,NA,NA,-351.985,-619.336,NA,"USD","2023-12-31","YE",0.969,NA,149.278,NA,NA,715.79,NA,136.686,10.383,NA,NA,475.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,6781.292,"WJG75OJ","2023YE",2023,62,61,"Public","A2, A3, HDM A3","Auto","P668552",NA,NA,NA,NA,"4.12%"
"14",13,"33198",NA,NA,257.94,NA,42.279,NA,2235.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,3212.454,7269.999,2239.888,1185.199,NA,4930.844,2339.155,NA,NA,NA,NA,NA,NA,-105.734,-630.753,NA,"USD","2023-10-01","Q3",-50.592,NA,128.8,NA,NA,707.36,NA,131.783,7.85,NA,NA,491.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,6821.514,"WJG75OJ","2023Q3",2023,63,63,"Public","A2, A3, HDM A3","Auto","P668552",NA,NA,NA,NA,"4.12%"
"15",14,"33198",NA,NA,319.216,NA,437.21,NA,2134.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,2716.253,7048.988,2359.876,1519.577,NA,4749.666,2299.322,NA,NA,NA,NA,NA,NA,-194.184,-341.601,NA,"USD","2023-07-02","Q2",-93.06,NA,126.273,NA,NA,726.365,NA,125.65,5.825,NA,NA,482.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,7001.311,"WJG75OJ","2023Q2",2023,64,60,"Public","A2, A3, HDM A3","Auto","P668552",NA,NA,NA,NA,"4.12%"
"16",15,"33198",NA,NA,209.651,NA,447.601,NA,2108.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,2717.891,7061.434,2362.327,1609.49,NA,4855.869,2205.565,NA,NA,NA,NA,NA,NA,-216.615,-328.635,NA,"USD","2023-04-02","Q1",-71.782,NA,130.132,NA,NA,735.982,NA,115.313,4.667,NA,NA,499.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,7209.353,"WJG75OJ","2023Q1",2023,66,59,"Public","A2, A3, HDM A3","Auto","P668552",NA,NA,NA,NA,"4.12%"
"17",16,"33198",NA,NA,227.438,NA,502.44,59.171,2110.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,2719.783,7052.94,2361.254,1743.901,NA,4980.143,2072.797,NA,NA,NA,NA,NA,NA,1294.201,-1741.436,NA,"USD","2022-12-31","YE",-127.12,NA,118.509,NA,NA,675.396,NA,101.662,4.621,NA,NA,466.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,7250.552,"WJG75OJ","2022YE",2022,65,57,"Public","A2, A3, HDM A3","Auto","P668552",NA,NA,NA,NA,"8.00%"
"18",17,"33198",NA,NA,182.238,NA,416.929,NA,2027.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,2723.101,6975.646,2411.32,1755.472,NA,5040.565,1935.081,NA,NA,NA,NA,NA,NA,1320.541,-1685.448,NA,"USD","2022-10-02","Q3",-83.397,NA,140.824,NA,NA,653.22,NA,84.466,4.183,NA,NA,437.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,7013.717,"WJG75OJ","2022Q3",2022,65,55,"Public","A2, A3, HDM A3","Auto","P668552",NA,NA,NA,NA,"8.00%"
"19",18,"33198",NA,NA,174.996,NA,399.025,NA,2034.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,2727.916,6989.51,2376.484,1745.138,NA,5053.119,1936.391,NA,NA,NA,NA,NA,NA,1184.05,-1641.662,NA,"USD","2022-07-03","Q2",-62.377,NA,106.564,NA,NA,597.79,NA,72.505,3.569,NA,NA,426.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,6538.694,"WJG75OJ","2022Q2",2022,63,54,"Public","A2, A3, HDM A3","Auto","P668552",NA,NA,NA,NA,"8.00%"
"20",19,"33198",NA,NA,151.537,NA,440.698,NA,2068.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,2730.146,6955.988,2250.645,1715.005,NA,5037.057,1918.931,NA,NA,NA,NA,NA,NA,948.912,-1542.703,NA,"USD","2022-04-03","Q1",-67.889,NA,-56.186,NA,NA,515.421,NA,66.071,5.502,NA,NA,-39.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,6008.116,"WJG75OJ","2022Q1",2022,43,35,"Public","A2, A3, HDM A3","Auto","P668552",NA,NA,NA,NA,"8.00%"
