"","X.x","Supplier.Number","accountsPayable","accountsReceivable","bankCashBalances","bankOverdraft","debitOwnedWithinOneYear","financialAssets","fixedAssets","intangibleAssets","otherCurrentAssets","otherCurrentLiabilities","otherEquity","otherTermAssets","otherTermLiabilities","prepayments","retainedEarnings","subscribedCapital","termLoans","totalAssets","totalCurrentAssets","totalCurrentLiabilities","totalInventories","totalLiabilities","totalShareholderEquity","totalTermAssets","totalTermLiabilities","accountPayableAccrualFromCashFlow","capitalExpenditure","changeInInventoriesFromCashFlow","netChangeInCashAndCashEquivalents","netFundingCashFlow","netInvestingCashFlow","unbilledAccountsReceivableRevenueFromCashFlow","currency","financialDate","period","abnormalItems","amortization","companyTaxExpense","costOfGoodsSold","depreciation","earningsBeforeInterestAndTax","grossProfit","interestExpense","interestReceived","investmentIncome","netInvestmentIncome","netProfitAfterTax","netProfitAfterTaxAndMinorityInterests","netProfitBeforeTax","netSurplus","otherIncome","otherInvestmentExpense","otherOperatingExpense","totalOperatingExpense","totalOperatingRevenue","totalStaffCosts","salesRevenue","RRID","id","eqyYear","CHS","FHR","Data.Source","Group","Group.Classification","Parent.ID","X.y","count","USD.to.Other.Currency","X.Other.Currency.to.USD","Inflation.Rate...."
"621",620,"519771",NA,NA,23507,NA,11302,23309,63455,NA,NA,NA,NA,NA,NA,NA,NA,NA,39816,213047,114269,43347,NA,91392,121655,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2024-06-30","Q1",-3029,NA,3483,NA,NA,11592,NA,341,249,NA,NA,13423,NA,NA,NA,NA,NA,NA,NA,NA,NA,156159,"mDbmlGA","2025Q1",2025,46,67,"Public","F2","Auto","P280274",40,68,152.9137,0.006539636,NA
"622",621,"519771",NA,NA,21000,NA,11463,22389,64206,NA,NA,NA,NA,NA,NA,NA,NA,NA,41845,214404,115795,45004,NA,94354,120050,NA,NA,NA,NA,NA,NA,-15971,-3338,NA,"JPY","2024-03-31","YE",-3667,NA,3219,NA,NA,10859,NA,353,246,NA,NA,13334,NA,NA,NA,NA,NA,NA,NA,NA,NA,160339,"mDbmlGA","2024YE",2024,45,65,"Public","F2","Auto","P280274",41,300,151.353,0.006607071,"2.90%"
"623",622,"519771",NA,NA,26135,NA,18823,22621,67872,NA,NA,NA,NA,NA,NA,NA,NA,NA,43623,226955,124002,58291,NA,110195,116760,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2023-12-31","Q3",1228,NA,2257,NA,NA,16046,NA,371,182,NA,NA,30935,NA,NA,NA,NA,NA,NA,NA,NA,NA,165082,"mDbmlGA","2024Q3",2024,55,66,"Public","F2","Auto","P280274",41,300,151.353,0.006607071,"2.90%"
"624",623,"519771",NA,NA,23390,NA,19248,22880,68893,NA,NA,NA,NA,NA,NA,NA,NA,NA,40527,223013,119070,59580,NA,108192,114821,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2023-09-30","Q2",-183,NA,1867,NA,NA,15158,NA,380,169,NA,NA,32244,NA,NA,NA,NA,NA,NA,NA,NA,NA,170156,"mDbmlGA","2024Q2",2024,55,66,"Public","F2","Auto","P280274",41,300,151.353,0.006607071,"2.90%"
"625",624,"519771",NA,NA,18503,NA,20206,24853,69521,NA,NA,NA,NA,NA,NA,NA,NA,NA,42431,219799,113111,59523,NA,109827,109972,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2023-06-30","Q1",-406,NA,1498,NA,NA,15561,NA,354,143,NA,NA,39930,NA,NA,NA,NA,NA,NA,NA,NA,NA,170988,"mDbmlGA","2024Q1",2024,55,65,"Public","F2","Auto","P280274",41,300,151.353,0.006607071,"2.90%"
"626",625,"519771",NA,NA,17844,NA,20939,23743,69898,NA,NA,NA,NA,NA,NA,NA,NA,NA,44613,221090,115101,61073,NA,113229,107861,NA,NA,NA,NA,NA,NA,-47039,19958,NA,"JPY","2023-03-31","YE",-1219,NA,1216,NA,NA,15538,NA,326,252,NA,NA,43402,NA,NA,NA,NA,NA,NA,NA,NA,NA,169309,"mDbmlGA","2023YE",2023,56,68,"Public","F2","Auto","P280274",42,324,140.511,0.007116881,"4.12%"
"627",626,"519771",NA,NA,28507,NA,52999,27391,71765,NA,NA,NA,NA,NA,NA,NA,NA,NA,32599,243289,132557,110092,NA,151667,91622,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2022-12-31","Q3",-55579,NA,297,NA,NA,-39838,NA,282,206,NA,NA,-21294,NA,NA,NA,NA,NA,NA,NA,NA,NA,179523,"mDbmlGA","2023Q3",2023,19,27,"Public","F2","Auto","P280274",42,324,140.511,0.007116881,"4.12%"
"628",627,"519771",NA,NA,23888,NA,8215,29036,75047,NA,NA,NA,NA,NA,NA,NA,NA,NA,34106,237383,121976,54584,NA,98761,138622,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2022-09-30","Q2",-55245,NA,339,NA,NA,-43156,NA,255,185,NA,NA,-24915,NA,NA,NA,NA,NA,NA,NA,NA,NA,186347,"mDbmlGA","2023Q2",2023,19,39,"Public","F2","Auto","P280274",42,324,140.511,0.007116881,"4.12%"
"629",628,"519771",NA,NA,27192,NA,8138,35498,75705,NA,NA,NA,NA,NA,NA,NA,NA,NA,35652,240216,119539,60735,NA,106983,133233,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2022-06-30","Q1",-55488,NA,160,NA,NA,-46496,NA,283,173,NA,NA,-34089,NA,NA,NA,NA,NA,NA,NA,NA,NA,192912,"mDbmlGA","2023Q1",2023,18,37,"Public","F2","Auto","P280274",42,324,140.511,0.007116881,"4.12%"
"630",629,"519771",NA,NA,28216,NA,7840,38668,101052,NA,NA,NA,NA,NA,NA,NA,NA,NA,37728,290696,140903,113395,NA,160633,130063,NA,NA,NA,NA,NA,NA,-12744,-1839,NA,"JPY","2022-03-31","YE",-55228,NA,494,NA,NA,-47966,NA,308,38,NA,NA,-39124,NA,NA,NA,NA,NA,NA,NA,NA,NA,206184,"mDbmlGA","2022YE",2022,19,31,"Public","F2","Auto","P280274",43,131,131.454,0.007607224,"8.00%"
"631",630,"583828",NA,NA,78.185,NA,76.628,41.044,434.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,282.348,1145.289,433.318,471.997,NA,857.982,287.307,NA,NA,NA,NA,NA,NA,-85.919,-78.839,NA,"EUR","2023-12-31","YE",-16.214,NA,17.481,NA,NA,111.017,NA,30.778,7.962,NA,NA,67.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,1627.88,"2AzG14D","2023YE",2023,78,79,"Public","GEN 2","Auto","P995555",64,79,NA,1.0821,"4.12%"
"632",631,"583828",NA,NA,140.288,NA,82.387,41.963,432.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.993,1248.04,529.609,541.658,NA,977.619,270.421,NA,NA,NA,NA,NA,NA,-53.522,-80.265,NA,"EUR","2023-06-30","Q2",-15.961,NA,18.928,NA,NA,88.291,NA,23.704,4.905,NA,NA,43.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,1648.532,"2AzG14D","2023S1",2023,67,71,"Public","GEN 2","Auto","P995555",64,79,NA,1.0821,"4.12%"
"633",632,"583828",NA,NA,118.488,NA,84.673,41.084,449.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,343.315,1199.788,459.017,487.183,NA,952.3,247.488,NA,NA,NA,NA,NA,NA,-42.715,-88.78,NA,"EUR","2022-12-31","YE",-16.468,NA,18.353,NA,NA,68.031,NA,19.323,3.863,NA,NA,31.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,1552.096,"2AzG14D","2022YE",2022,63,67,"Public","GEN 2","Auto","P995555",65,69,NA,1.0535,"8.00%"
"634",633,"583828",NA,NA,140,NA,76.6,47,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.3,1282.4,510.1,510.1,NA,1017.5,264.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EUR","2022-09-30","Q3",-32.85,NA,14.82,NA,NA,43.65,NA,21.66,2.69,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1496.24,"2AzG14D","2022Q3",2022,56,62,"Public","GEN 2","Auto","P995555",65,69,NA,1.0535,"8.00%"
"635",634,"583828",NA,NA,152.254,NA,74.98,43.013,454.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,370.784,1261.326,499.101,508.087,NA,1015.481,245.845,NA,NA,NA,NA,NA,NA,-65.988,-83.429,NA,"EUR","2022-06-30","Q2",-26.237,NA,10.254,NA,NA,44.179,NA,17.254,2.584,NA,NA,23.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,1394.191,"2AzG14D","2022S1",2022,53,61,"Public","GEN 2","Auto","P995555",65,69,NA,1.0535,"8.00%"
"636",635,"583828",NA,NA,120.927,NA,106.019,42.782,452.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.691,1178.723,409.991,478.651,NA,973.739,204.984,NA,NA,NA,NA,NA,NA,-140.04,-89.589,NA,"EUR","2021-12-31","YE",-27.148,NA,13.516,NA,NA,45.658,NA,20.655,2.689,NA,NA,28.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,1320.637,"2AzG14D","2021YE",2021,59,61,"Public","GEN 2","Auto","P995555",66,44,NA,1.1828,"4.70%"
"637",636,"583828",NA,NA,232.8,NA,165.8,4.1,451.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,402.7,1301.1,521.2,538.6,NA,1133,168.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EUR","2021-03-31","Q1",-45.71,NA,7.16,NA,NA,16.48,NA,24.03,0.46,NA,NA,-4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220.4,"2AzG14D","2021Q1",2021,33,41,"Public","GEN 2","Auto","P995555",66,44,NA,1.1828,"4.70%"
"638",637,"583828",NA,NA,209.673,NA,170.005,36.205,444.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,402.956,1264.779,487.73,524.278,NA,1115.405,149.374,NA,NA,NA,NA,NA,NA,63.457,-104.095,NA,"EUR","2020-12-31","YE",-46.805,NA,3.558,NA,NA,3.584,NA,24.025,0.456,NA,NA,-19.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,1203.201,"2AzG14D","2020YE",2020,26,36,"Public","GEN 2","Auto","P995555",67,37,NA,1.1382,"1.23%"
"639",638,"583828",NA,NA,215.1,NA,300.5,34.6,455.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,1289,502.5,645.3,NA,1127.1,161.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EUR","2020-09-30","Q3",-38.95,NA,3.89,NA,NA,-1.17,NA,26.49,0.58,NA,NA,-28.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,1230.85,"2AzG14D","2020Q3",2020,25,32,"Public","GEN 2","Auto","P995555",67,37,NA,1.1382,"1.23%"
"640",639,"583828",NA,NA,188.126,NA,296.799,38.66,438.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,283.018,1211.013,432.877,591.544,NA,1050.71,160.303,NA,NA,NA,NA,NA,NA,117.339,-118.689,NA,"EUR","2020-06-30","Q2",-34.942,NA,4.399,NA,NA,-4.138,NA,26.843,0.439,NA,NA,-32.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260.914,"2AzG14D","2020S1",2020,22,31,"Public","GEN 2","Auto","P995555",67,37,NA,1.1382,"1.23%"
"641",640,"510530",NA,NA,749.859,NA,327.381,162.059,1513.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,307.264,4221.468,2232.771,1146.571,NA,1624.801,2596.667,NA,NA,NA,NA,NA,NA,-5.87,-225.405,NA,"USD","2024-03-31","YE",-9.642,NA,38.806,NA,NA,285.322,NA,31.56,19.992,NA,NA,232.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,3814.213,"PJpG0ZD","2024YE",2024,50,62,"Public","CommonAuto","Auto","P0",NA,NA,NA,NA,"2.90%"
"642",641,"510530",NA,NA,440.177,NA,328.607,209.809,1531.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.427,3995.408,1935.842,1208.804,NA,1501.816,2493.592,NA,NA,NA,NA,NA,NA,-181.424,-209.966,NA,"USD","2023-09-30","Q2",-1.121,NA,38.928,NA,NA,281.142,NA,25.448,9.76,NA,NA,224.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,3813.276,"PJpG0ZD","2024S1",2024,52,61,"Public","CommonAuto","Auto","P0",NA,NA,NA,NA,"2.90%"
"643",642,"510530",NA,NA,408.664,NA,134.545,251.274,1631.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.876,4101.59,1888.816,981.411,NA,1606.199,2495.391,NA,NA,NA,NA,NA,NA,-110.373,-240.8,NA,"USD","2023-03-31","YE",-1.805,NA,19.77,NA,NA,198.714,NA,21.677,5.605,NA,NA,161.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,3646.119,"PJpG0ZD","2023YE",2023,43,57,"Public","CommonAuto","Auto","P0",NA,NA,NA,NA,"4.12%"
"644",643,"510530",NA,NA,298.165,NA,134.511,316.087,1571.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.077,4035.381,1839.77,1094.992,NA,1705.825,2329.556,NA,NA,NA,NA,NA,NA,-142.967,-288.688,NA,"USD","2022-09-30","Q2",-1.42,NA,8.62,NA,NA,139.589,NA,18.665,3.558,NA,NA,114.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,3541.883,"PJpG0ZD","2023S1",2023,35,52,"Public","CommonAuto","Auto","P0",NA,NA,NA,NA,"4.12%"
"645",644,"510530",NA,NA,345.404,NA,53.799,280.225,1755.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.535,4338.776,1949.934,1055.828,NA,1837.062,2501.714,NA,NA,NA,NA,NA,NA,-23.953,-351.197,NA,"USD","2022-03-31","YE",-4.094,NA,17.917,NA,NA,187.484,NA,18.872,2.937,NA,NA,152.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,3446.055,"PJpG0ZD","2022YE",2022,41,51,"Public","CommonAuto","Auto","P0",NA,NA,NA,NA,"8.00%"
"646",645,"510530",NA,NA,486.519,NA,68.836,232.322,1684.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.739,4260.123,1944.574,1071.305,NA,1872.657,2387.466,NA,NA,NA,NA,NA,NA,-11.389,-323.024,NA,"USD","2021-09-30","Q2",-24.765,NA,27.789,NA,NA,253.701,NA,15.961,3.177,NA,NA,211.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3499.904,"PJpG0ZD","2022S1",2022,49,59,"Public","CommonAuto","Auto","P0",NA,NA,NA,NA,"8.00%"
"647",646,"510530",NA,NA,539.467,NA,29.546,223.226,1512.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.187,4018.44,1903.616,959.284,NA,1710.407,2308.033,NA,NA,NA,NA,NA,NA,-37.145,-264.627,NA,"USD","2021-03-31","YE",-21.407,NA,29.188,NA,NA,258.492,NA,12.274,NA,NA,NA,219.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,3156.163,"PJpG0ZD","2021YE",2021,50,65,"Public","CommonAuto","Auto","P0",NA,NA,NA,NA,"4.70%"
"648",647,"510530",NA,NA,468.845,NA,44.482,207.061,1433.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.045,3644.581,1646.604,798.835,NA,1584.12,2060.461,NA,NA,NA,NA,NA,NA,-115.866,-139.957,NA,"USD","2020-09-30","Q2",-795.505,NA,12.229,NA,NA,-524.73,NA,14.338,2.789,NA,NA,-549.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,2835.805,"PJpG0ZD","2021S1",2021,8,53,"Public","CommonAuto","Auto","P0",NA,NA,NA,NA,"4.70%"
"649",648,"510530",NA,NA,244.272,NA,34.221,275.192,1372.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.433,3460.355,1460.567,767.664,NA,1558.639,1901.716,NA,NA,NA,NA,NA,NA,-320.829,-168.733,NA,"USD","2020-03-31","YE",-795.505,NA,15.168,NA,NA,-454.909,NA,18.144,2.779,NA,NA,-486.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,3070.485,"PJpG0ZD","2020YE",2020,9,51,"Public","CommonAuto","Auto","P0",NA,NA,NA,NA,"1.23%"
"650",649,"510530",NA,NA,232.126,NA,77.024,238.36,1362.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.39,4305.052,1536.012,847.751,NA,1687.393,2617.659,NA,NA,NA,NA,NA,NA,-84.812,-351.566,NA,"USD","2019-09-30","Q2",0,NA,35.452,NA,NA,364.387,NA,18.155,2.456,NA,NA,311.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,3167.673,"PJpG0ZD","2020S1",2020,54,63,"Public","CommonAuto","Auto","P0",NA,NA,NA,NA,"1.23%"
"651",650,"512737",NA,NA,160338,NA,69558,29329,172749,NA,NA,NA,NA,NA,NA,NA,NA,NA,117744,756416,494960,209651,NA,368280,388136,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2024-06-30","Q1",-6772,NA,13674,NA,NA,74591,NA,3877,850,NA,NA,61598,NA,NA,NA,NA,NA,NA,NA,NA,NA,827883,"2AzGW5D","2025Q1",2025,64,68,"Public","F0, HDM F2","Auto","P940842",40,68,152.9137,0.006539636,NA
"652",651,"512737",NA,NA,147760,NA,65105,43073,165696,NA,NA,NA,NA,NA,NA,NA,NA,NA,132643,723867,467297,200283,NA,357285,366582,NA,NA,NA,NA,NA,NA,-36035,-21488,NA,"JPY","2024-03-31","YE",-6187,NA,11103,NA,NA,63296,NA,3821,765,NA,NA,53112,NA,NA,NA,NA,NA,NA,NA,NA,NA,799760,"2AzGW5D","2024YE",2024,60,64,"Public","F0, HDM F2","Auto","P940842",41,300,151.353,0.006607071,"2.90%"
"653",652,"512737",NA,NA,129171,NA,54873,32395,162091,NA,NA,NA,NA,NA,NA,NA,NA,NA,132235,690258,446956,179898,NA,354740,335518,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2023-12-31","Q3",-21048,NA,10292,NA,NA,44049,NA,3878,1145,NA,NA,32357,NA,NA,NA,NA,NA,NA,NA,NA,NA,792656,"2AzGW5D","2024Q3",2024,50,56,"Public","F0, HDM F2","Auto","P940842",41,300,151.353,0.006607071,"2.90%"
"654",653,"512737",NA,NA,119542,NA,52908,33028,165519,NA,NA,NA,NA,NA,NA,NA,NA,NA,142678,703961,458099,183102,NA,366642,337319,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2023-09-30","Q2",-20391,NA,7005,NA,NA,45298,NA,3627,1058,NA,NA,36289,NA,NA,NA,NA,NA,NA,NA,NA,NA,799320,"2AzGW5D","2024Q2",2024,51,56,"Public","F0, HDM F2","Auto","P940842",41,300,151.353,0.006607071,"2.90%"
"655",654,"512737",NA,NA,115687,NA,62250,31487,167254,NA,NA,NA,NA,NA,NA,NA,NA,NA,141299,682773,437830,184700,NA,366458,316315,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2023-06-30","Q1",-17085,NA,8439,NA,NA,54365,NA,3290,944,NA,NA,45548,NA,NA,NA,NA,NA,NA,NA,NA,NA,815754,"2AzGW5D","2024Q1",2024,57,59,"Public","F0, HDM F2","Auto","P940842",41,300,151.353,0.006607071,"2.90%"
"656",655,"512737",NA,NA,107228,NA,51376,37511,163156,NA,NA,NA,NA,NA,NA,NA,NA,NA,157024,656785,418427,182019,NA,362401,294384,NA,NA,NA,NA,NA,NA,-33919,-9733,NA,"JPY","2023-03-31","YE",-17155,NA,8174,NA,NA,53008,NA,3056,676,NA,NA,42568,NA,NA,NA,NA,NA,NA,NA,NA,NA,806453,"2AzGW5D","2023YE",2023,58,59,"Public","F0, HDM F2","Auto","P940842",42,324,140.511,0.007116881,"4.12%"
"657",656,"512737",NA,NA,89428,NA,63789,31178,181691,NA,NA,NA,NA,NA,NA,NA,NA,NA,144319,674028,417871,192900,NA,376671,297357,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2022-12-31","Q3",-212,NA,14436,NA,NA,66637,NA,2728,490,NA,NA,60940,NA,NA,NA,NA,NA,NA,NA,NA,NA,787306,"2AzGW5D","2023Q3",2023,67,64,"Public","F0, HDM F2","Auto","P940842",42,324,140.511,0.007116881,"4.12%"
"658",657,"512737",NA,NA,85595,NA,79656,30719,186500,NA,NA,NA,NA,NA,NA,NA,NA,NA,134861,685402,421352,215091,NA,388453,296949,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2022-09-30","Q2",-4642,NA,16107,NA,NA,50301,NA,2578,378,NA,NA,54843,NA,NA,NA,NA,NA,NA,NA,NA,NA,741324,"2AzGW5D","2023Q2",2023,59,55,"Public","F0, HDM F2","Auto","P940842",42,324,140.511,0.007116881,"4.12%"
"659",658,"512737",NA,NA,86260,NA,79553,29879,188040,NA,NA,NA,NA,NA,NA,NA,NA,NA,140562,658419,395580,214234,NA,393468,264951,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2022-06-30","Q1",-3467,NA,12937,NA,NA,36425,NA,2497,334,NA,NA,41913,NA,NA,NA,NA,NA,NA,NA,NA,NA,688568,"2AzGW5D","2023Q1",2023,52,49,"Public","F0, HDM F2","Auto","P940842",42,324,140.511,0.007116881,"4.12%"
"660",659,"512737",NA,NA,91041,NA,72604,35527,174130,NA,NA,NA,NA,NA,NA,NA,NA,NA,144994,611526,369141,198418,NA,367869,243657,NA,NA,NA,NA,NA,NA,-36917,7840,NA,"JPY","2022-03-31","YE",-3463,NA,11545,NA,NA,34825,NA,2497,324,NA,NA,40130,NA,NA,NA,NA,NA,NA,NA,NA,NA,670350,"2AzGW5D","2022YE",2022,52,49,"Public","F0, HDM F2","Auto","P940842",43,131,131.454,0.007607224,"8.00%"
"661",660,"510254",NA,NA,19708,NA,11389,2374,20291,NA,NA,NA,NA,NA,NA,NA,NA,NA,4868,108142,83264,33218,NA,39659,68483,NA,NA,NA,NA,NA,NA,-3746,-8453,NA,"JPY","2024-06-30","Q1",-440,NA,1364,NA,NA,4721,NA,622,231,NA,NA,4542,NA,NA,NA,NA,NA,NA,NA,NA,NA,126384,"mDb19WA","2025Q1",2025,40,56,"Public","F0, HDM F0","Auto","P526115",40,68,152.9137,0.006539636,NA
"662",661,"510254",NA,NA,20216,NA,11829,2162,19377,NA,NA,NA,NA,NA,NA,NA,NA,NA,5107,102747,78925,31899,NA,38428,64319,NA,NA,NA,NA,NA,NA,-4437,-8537,NA,"JPY","2024-03-31","YE",-439,NA,1450,NA,NA,3973,NA,645,183,NA,NA,3208,NA,NA,NA,NA,NA,NA,NA,NA,NA,122447,"mDb19WA","2024YE",2024,36,56,"Public","F0, HDM F0","Auto","P526115",41,300,151.353,0.006607071,"2.90%"
"663",662,"510254",NA,NA,18868,NA,12686,1971,18951,NA,NA,NA,NA,NA,NA,NA,NA,NA,4542,101360,77901,32990,NA,38749,62611,NA,NA,NA,NA,NA,NA,-8173,-4173,NA,"JPY","2023-12-31","Q3",-422,NA,963,NA,NA,5162,NA,721,164,NA,NA,4505,NA,NA,NA,NA,NA,NA,NA,NA,NA,123570,"mDb19WA","2024Q3",2024,43,58,"Public","F0, HDM F0","Auto","P526115",41,300,151.353,0.006607071,"2.90%"
"664",663,"510254",NA,NA,16882,NA,12180,1810,17582,NA,NA,NA,NA,NA,NA,NA,NA,NA,1299,97280,75378,31854,NA,34596,62684,NA,NA,NA,NA,NA,NA,-14238,-1840,NA,"JPY","2023-09-30","Q2",-65,NA,1000,NA,NA,4194,NA,737,139,NA,NA,3069,NA,NA,NA,NA,NA,NA,NA,NA,NA,122654,"mDb19WA","2024Q2",2024,37,57,"Public","F0, HDM F0","Auto","P526115",41,300,151.353,0.006607071,"2.90%"
"665",664,"510254",NA,NA,16218,NA,15928,1614,15846,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,93849,74035,33055,NA,34865,58984,NA,NA,NA,NA,NA,NA,-5772,-1034,NA,"JPY","2023-06-30","Q1",-68,NA,951,NA,NA,2840,NA,659,121,NA,NA,1786,NA,NA,NA,NA,NA,NA,NA,NA,NA,121194,"mDb19WA","2024Q1",2024,27,51,"Public","F0, HDM F0","Auto","P526115",41,300,151.353,0.006607071,"2.90%"
"666",665,"510254",NA,NA,13646,NA,17456,1446,15030,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,92871,73893,34799,NA,36356,56515,NA,NA,NA,NA,NA,NA,1776,-1321,NA,"JPY","2023-03-31","YE",-464,NA,846,NA,NA,1981,NA,511,116,NA,NA,1232,NA,NA,NA,NA,NA,NA,NA,NA,NA,121338,"mDb19WA","2023YE",2023,24,46,"Public","F0, HDM F0","Auto","P526115",42,324,140.511,0.007116881,"4.12%"
"667",666,"510254",NA,NA,13525,NA,21979,1385,15702,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,98232,78930,41988,NA,43458,54774,NA,NA,NA,NA,NA,NA,7118,-1962,NA,"JPY","2022-12-31","Q3",-986,NA,445,NA,NA,-4874,NA,351,87,NA,NA,-4792,NA,NA,NA,NA,NA,NA,NA,NA,NA,114147,"mDb19WA","2023Q3",2023,13,33,"Public","F0, HDM F0","Auto","P526115",42,324,140.511,0.007116881,"4.12%"
"668",667,"510254",NA,NA,14366,NA,24845,1307,16809,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,103441,83095,44507,NA,45947,57494,NA,NA,NA,NA,NA,NA,12229,-2489,NA,"JPY","2022-09-30","Q2",-1107,NA,-58,NA,NA,-6945,NA,206,91,NA,NA,-6554,NA,NA,NA,NA,NA,NA,NA,NA,NA,105515,"mDb19WA","2023Q2",2023,13,32,"Public","F0, HDM F0","Auto","P526115",42,324,140.511,0.007116881,"4.12%"
"669",668,"510254",NA,NA,11422,NA,19660,1244,16640,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,95793,75694,39332,NA,40828,54965,NA,NA,NA,NA,NA,NA,11077,-3667,NA,"JPY","2022-06-30","Q1",-1148,NA,-158,NA,NA,-8255,NA,120,90,NA,NA,-7884,NA,NA,NA,NA,NA,NA,NA,NA,NA,97140,"mDb19WA","2023Q1",2023,13,32,"Public","F0, HDM F0","Auto","P526115",42,324,140.511,0.007116881,"4.12%"
"670",669,"510254",NA,NA,10846,NA,13065,1306,15614,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,86148,67143,32889,NA,34516,51632,NA,NA,NA,NA,NA,NA,6771,-3071,NA,"JPY","2022-03-31","YE",-1219,NA,-331,NA,NA,-8976,NA,78,84,NA,NA,-8230,NA,NA,NA,NA,NA,NA,NA,NA,NA,91106,"mDb19WA","2022YE",2022,13,35,"Public","F0, HDM F0","Auto","P526115",43,131,131.454,0.007607224,"8.00%"
"671",670,"500044",NA,NA,67735,NA,8500,NA,73062,NA,NA,NA,NA,NA,NA,NA,NA,NA,52500,239352,147827,53556,NA,108059,131293,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JPY","2024-06-30","Q1",-1034,NA,4182,NA,NA,15335,NA,213,340,NA,NA,12880,NA,NA,NA,NA,NA,NA,NA,NA,NA,229607,"Ra7pKgA","2025Q1",2025,52,67,"Public","F0, PU, HDM F2","Auto","P788967",40,68,152.9137,0.006539636,NA
"672",671,"500044",NA,NA,68298,NA,10717,5653,73179,NA,NA,NA,NA,NA,NA,NA,NA,NA,54289,236042,144452,53169,NA,109232,126810,NA,NA,NA,NA,NA,NA,-11896,-20313,NA,"JPY","2024-03-31","YE",-931,NA,4148,NA,NA,13492,NA,62,339,NA,NA,12245,NA,NA,NA,NA,NA,NA,NA,NA,NA,225781,"Ra7pKgA","2024YE",2024,50,67,"Public","F0, PU, HDM F2","Auto","P788967",41,300,151.353,0.006607071,"2.90%"
