vlookup_supplier_number,eqy_year,period,chs,fhr,operating_profit,operating_profit_before_depreciation,gross_profit,capital_employed,total_shareholder_equity,total_assets,total_revenue,operating_profit_after_tax,net_profit_after_tax,net_profit_before_tax,cost_of_goods_sold,depreciation,interest_expense,other_operating_expense,total_staff_costs,company_tax_expense,total_cash_operating_expenditure,total_liabilities,total_inventories,total_term_liabilities,total_current_assets,total_current_liabilities,quick_assets,working_capital,total_debt,cash,retained_earnings,current_debt_service,cash_from_operations
508398,2024,Q2,65,79,0,0,0,12174.506999999998,6968.4839999999995,16706.259,14133.248999999998,-164.754,944.7929999999999,0,0,0,84.41099999999999,0,0,164.754,0,9737.775,0,0,7513.596,4531.7519999999995,7513.596,2981.844,4531.7519999999995,1434.9869999999999,0,4616.163,944.7929999999999
508398,2024,Q1,65,79,0,0,0,12223.322999999997,7048.826999999999,16693.037999999997,14028.497999999998,-167.80499999999998,947.8439999999999,0,0,0,78.309,0,0,167.80499999999998,0,9644.211,0,0,7507.494,4469.714999999999,7507.494,3037.7790000000005,4469.714999999999,1490.9219999999998,0,4548.023999999999,947.8439999999999
508398,2023,YE,65,80,0,0,0,13064.466,7315.388999999999,17648.232,14326.100999999999,-172.755,965.334,0,0,0,80.619,0,0,172.755,0,10332.842999999999,0,0,8187.539999999999,4583.766,8187.539999999999,3603.7739999999994,4583.766,2283.507,0,4664.384999999999,965.334
508398,2023,Q3,66,81,0,0,0,12673.935000000001,7399.148999999999,17267.124,14058.069,-172.755,993.603,0,0,0,72.243,0,0,172.755,0,9867.974999999999,0,0,7941.495,4593.188999999999,7941.495,3348.3060000000005,4593.188999999999,1749.5369999999998,0,4665.432,993.603
508398,2023,Q2,66,81,0,0,0,12648.806999999999,7364.598,17259.795,13780.614,-180.08399999999997,947.535,0,0,0,84.80699999999999,0,0,180.08399999999997,0,9895.197,0,0,7999.079999999999,4610.987999999999,7999.079999999999,3388.0919999999996,4610.987999999999,1832.2499999999998,0,4695.794999999999,947.535
508398,2023,Q1,64,80,0,0,0,12672.887999999999,7337.375999999999,17163.470999999998,13497.923999999999,-158.09699999999998,900.42,0,0,0,98.41799999999999,0,0,158.09699999999998,0,9826.095,0,0,7967.669999999999,4490.583,7967.669999999999,3477.0869999999995,4490.583,1883.5529999999999,0,4589.000999999999,900.42
508398,2022,YE,64,79,0,0,0,13759.070000000003,7753.170000000001,17759.370000000003,14027.210000000001,-167.86,939.58,0,0,0,116.63000000000001,0,0,167.86,0,10006.2,0,0,8145.570000000001,4000.3,8145.570000000001,4145.27,4000.3,2218.15,0,4116.93,939.58
508398,2022,Q3,65,80,0,0,0,13438.61,7370.580000000001,17392.04,13684.95,-177.67000000000002,918.8700000000001,0,0,0,140.61,0,0,177.67000000000002,0,10021.460000000001,0,0,8153.200000000001,3953.4300000000003,8153.200000000001,4199.77,3953.4300000000003,2053.56,0,4094.0400000000004,918.8700000000001
508398,2022,Q2,65,80,0,0,0,13521.45,7413.09,17308.11,13589.03,-171.13000000000002,875.2700000000001,0,0,0,142.79000000000002,0,0,171.13000000000002,0,9895.02,0,0,8096.52,3786.6600000000003,8096.52,4309.860000000001,3786.6600000000003,2006.69,0,3929.4500000000003,875.2700000000001
508398,2022,Q1,63,80,0,0,0,13705.660000000002,7539.530000000001,17342.99,13629.36,-159.14000000000001,838.21,0,0,0,147.15,0,0,159.14000000000001,0,9803.460000000001,0,0,8331.960000000001,3637.3300000000004,8331.960000000001,4694.630000000001,3637.3300000000004,2317.34,0,3784.4800000000005,838.21
033198,2024,Q2,56,51,0,0,0,5622.516026999999,2483.3787389999998,7276.293287999999,6719.5640969999995,-108.099981,375.386904,0,0,0,131.22350999999998,0,0,108.099981,0,4792.914548999999,0,0,2150.408871,1653.777261,2150.408871,496.63161000000014,1653.777261,142.616961,0,1785.000771,375.386904
033198,2024,Q1,59,55,0,0,0,5716.527506999999,2468.7491939999995,7320.650759999999,6802.7658839999995,-121.76134199999998,399.58947,0,0,0,135.946458,0,0,121.76134199999998,0,4851.901566,0,0,2099.7022679999995,1604.1232529999997,2099.7022679999995,495.5790149999998,1604.1232529999997,175.14062099999998,0,1740.0697109999996,399.58947
033198,2023,YE,62,61,0,0,0,6309.933959999999,2546.131245,7529.9789789999995,7100.012724,-156.294066,498.268347,0,0,0,143.110242,0,0,156.294066,0,4983.847734,0,0,2146.7321549999997,1220.045019,2146.7321549999997,926.6871359999998,1220.045019,159.078039,0,1363.1552609999999,498.268347
033198,2023,Q3,63,63,0,0,0,6370.785599999999,2449.095285,7611.688952999999,7142.125158,-134.8536,514.260225,0,0,0,137.97680099999997,0,0,134.8536,0,5162.5936679999995,0,0,2345.1627359999998,1240.903353,2345.1627359999998,1104.2593829999998,1240.903353,270.06318,0,1378.880154,514.260225
033198,2023,Q2,64,60,0,0,0,5789.293317000001,2407.3901339999998,7380.290436,7330.372616999999,-132.207831,505.302093,0,0,0,131.55555,0,0,132.207831,0,4972.900302,0,0,2470.790172,1590.9971189999999,2470.790172,879.7930530000001,1590.9971189999999,334.219152,0,1722.552669,505.302093
033198,2023,Q1,66,59,0,0,0,5708.185368,2309.2265549999997,7393.321398,7548.192591,-136.248204,523.1199389999999,0,0,0,120.732711,0,0,136.248204,0,5084.094842999999,0,0,2473.356369,1685.13603,2473.356369,788.2203390000002,1685.13603,219.504597,0,1805.8687409999998,523.1199389999999
033198,2022,YE,65,57,0,0,0,5786.85251,2259.34873,7687.7046,7903.101680000001,-129.17481,509.00820000000004,0,0,0,110.81158000000002,0,0,129.17481,0,5428.35587,0,0,2573.76686,1900.8520900000003,2573.76686,672.9147699999999,1900.8520900000003,247.90742,0,2011.6636700000004,509.00820000000004
033198,2022,Q3,65,55,0,0,0,5689.989659999999,2109.2382900000002,7603.45414,7644.95153,-153.49816,476.93604,0,0,0,92.06794000000001,0,0,153.49816,0,5494.21585,0,0,2628.3388000000004,1913.46448,2628.3388000000004,714.8743200000004,1913.46448,198.63942,0,2005.53242,476.93604
033198,2022,Q2,63,54,0,0,0,5716.36548,2110.6661900000004,7618.5659000000005,7127.176460000001,-116.15476,465.00381,0,0,0,79.03045,0,0,116.15476,0,5507.89971,0,0,2590.36756,1902.2004200000001,2590.36756,688.16714,1902.2004200000001,190.74564000000004,0,1981.23087,465.00381
033198,2022,Q1,43,35,0,0,0,5712.671470000001,2091.63479,7582.026920000001,6548.84644,61.242740000000005,-42.942730000000005,0,0,0,72.01739,0,0,-61.242740000000005,0,5490.39213,0,0,2453.20305,1869.3554500000002,2453.20305,583.8475999999998,1869.3554500000002,165.17533000000003,0,1941.3728400000002,-42.942730000000005
