,2020 Q3,2020 YE,2021 Q1,2021 Q2,2021 Q3,2021 YE,2022 Q1,2022 Q2,2022 Q3,2022 YE,2023 Q1,2023 Q2,2023 Q3,2023 YE,2024 Q1,2024 Q2,2024 Q3,2024 YE,2025 Q1,2025 Q2,FHR Delta Qtr,FHR Delta An,Period End*,Period End Date,Current FHR,Simulated FHR,PD (%),Data Source,Group,Group Classification,Parent ID,Supplier Number,Key
21,,35,,,33,28,,28,,29,,40,,69,,,,,,,,40,"2023, YE",12/31/2023 0:00,69,69,0.0344,FHRx,A2,Auto,P0,580111,148
23,42,48,50,55,64,63,59,58,54,47,42,34,34,45,44,35,,,,,-9,1,"2024, Q2",6/30/2024 0:00,35,46,1.5853,Public,F2,Auto,P273712,11330,43
27,42,48,50,55,64,63,59,58,54,47,42,34,34,45,44,35,,,,,-9,1,"2024, Q2",6/30/2024 0:00,35,46,1.5853,Public,"F2, HDM F2",Auto,P273712,070920P,
25,41,39,33,32,33,31,31,31,29,30,,,,32,33,33,34,31,32,,1,-1,"2025, Q1",6/30/2024 0:00,32,40,2.2681,Public,"A1, HDM A1",Auto,P230057,11900,
33,83,89,89,88,66,76,68,61,45,31,37,37,50,40,36,34,,,,,-2,-3,"2024, Q2",6/30/2024 0:00,34,36,1.784,Public,F3,Auto,P850824,519912,144
35,69,56,56,55,53,69,77,81,81,74,70,69,71,79,81,82,83,80,84,,4,3,"2025, Q1",6/30/2024 0:00,84,84,0.0034,Public,F3,Auto,P611169,594416P,82
37,69,56,56,55,53,69,77,81,81,74,70,69,71,79,81,82,83,80,84,,4,3,"2025, Q1",6/30/2024 0:00,84,84,0.0034,Public,F3,Auto,P611169,594416P,82
39,69,56,56,55,53,69,77,81,81,74,70,69,71,79,81,82,83,80,84,,4,3,"2025, Q1",6/30/2024 0:00,84,84,0.0034,Public,F3,Auto,P611169,594416,
38,68,54,40,40,43,70,78,77,72,68,62,60,58,59,65,68,71,71,70,,-1,5,"2025, Q1",6/30/2024 0:00,70,70,0.0303,Public,"A1, A2, A3, F0, F3, PU, HDM F0",Auto,P564815,501121,
41,79,76,82,68,40,51,55,58,57,65,65,58,57,52,34,31,34,44,54,,10,20,"2025, Q1",6/30/2024 0:00,54,54,0.1945,Public,"F3, HDM F3",Auto,P926754,11630,97
43,51,52,52,42,53,50,50,48,49,51,52,54,52,45,44,45,36,42,40,,-2,-4,"2025, Q1",6/30/2024 0:00,40,49,0.8948,Public,"F0, HDM F0",Auto,P851698,11620,56
52,51,52,52,42,53,50,50,48,49,51,52,54,52,45,44,45,36,42,40,,-2,-4,"2025, Q1",6/30/2024 0:00,40,49,0.8948,Public,"A3, F0, HDM F2",Auto,P851698,502542,
53,42,47,53,76,69,59,53,53,56,60,59,58,55,50,52,55,,,,,3,-3,"2024, Q2",6/30/2024 0:00,55,58,0.1744,Public,PU,Auto,P634429,580167,8
56,42,47,53,76,69,59,53,53,56,60,59,58,55,50,52,55,,,,,3,-3,"2024, Q2",6/30/2024 0:00,55,58,0.1744,Public,PU,Auto,P634429,517082,
55,42,47,53,76,69,59,53,53,56,60,59,58,55,50,52,55,,,,,3,-3,"2024, Q2",6/30/2024 0:00,55,58,0.1744,Public,A1,Auto,P634429,501498,
54,,31,,,,35,,,,26,,,,18,28,,,,,,10,,"2024, Q1",3/31/2024 0:00,28,28,3.7449,FHRx,"A2, A3",Auto,P718396,517527,298
57,,81,,,,76,,,,64,,,,82,,,,,,,,18,"2023, YE",12/31/2023 0:00,82,82,0.0049,FHRx,"A1, HDM F1",Auto,P0,132310,332
58,,,,,,26,,,,27,,,,26,,,,28,,,,2,"2024, YE",3/31/2024 0:00,28,28,3.7449,FHRx,"A1, F0, F2, HDM F1",Auto,P629451,32380,196
59,,90,,,,94,,,,90,,,,91,,,,,,,,1,"2023, YE",9/30/2023 0:00,91,91,0.001,FHRx,A3,Auto,P822452,510145,
62,70,71,71,65,67,70,71,71,73,74,75,73,73,72,72,70,,,,,-2,-3,"2024, Q2",6/30/2024 0:00,70,70,0.0303,Public,F0,Auto,P253306,521439,
70,,80,,,,77,,,,80,,,80,81,83,78,78,,,,0,-2,"2024, Q3",6/30/2024 0:00,78,78,0.0097,FHRx,A1,Auto,P970268,511870,
74,,80,,,,77,,,,80,,,80,81,83,78,78,,,,0,-2,"2024, Q3",6/30/2024 0:00,78,78,0.0097,FHRx,A1,Auto,P970268,022230P,
73,,80,,,,77,,,,80,,,80,81,83,78,78,,,,0,-2,"2024, Q3",6/30/2024 0:00,78,78,0.0097,FHRx,A1,Auto,P970268,22230,
71,83,83,73,80,78,73,68,64,70,66,68,73,78,77,75,80,,,,,5,7,"2024, Q2",6/30/2024 0:00,80,78,0.007,Public,F0,Auto,P117786,42110,77
78,83,83,73,80,78,73,68,64,70,66,68,73,78,77,75,80,,,,,5,7,"2024, Q2",6/30/2024 0:00,80,78,0.007,Public,F2,Auto,P117786,42120,
