,2020 Q3,2020 YE,2021 Q1,2021 Q2,2021 Q3,2021 YE,2022 Q1,2022 Q2,2022 Q3,2022 YE,2023 Q1,2023 Q2,2023 Q3,2023 YE,2024 Q1,2024 Q2,2024 Q3,2024 YE,2025 Q1,2025 Q2,FHR Delta Qtr,FHR Delta An,Period End*,Period End Date,Current FHR,Simulated FHR,PD (%),Data Source,Group,Group Classification,Parent ID,Supplier Number,Key
345,30,29,29,33,38,47,56,58,53,55,54,54,55,54,54,57,58,54,,,-4,0,"2024, YE",3/31/2024 0:00,54,57,0.1945,Public,"A3, F0",Auto,P370907,517651,23
350,,55,,,,56,,,,49,,,,48,,,,,,,,-1,"2023, YE",12/31/2023 0:00,48,48,0.3724,FHRx,"A2, F2",Auto,P342705,193030,
351,,39,,64,,50,,39,,41,,47,,51,,,,,,,,10,"2023, YE",12/31/2023 0:00,51,55,0.2693,Public,F0,Auto,P625100,33516,48
355,,39,,64,,50,,39,,41,,47,,51,,,,,,,,10,"2023, YE",12/31/2023 0:00,51,55,0.2693,Public,F3,Auto,P625100,519258,
356,67,56,58,62,58,52,52,43,39,35,32,32,33,46,51,57,58,56,56,,0,5,"2025, Q1",6/30/2024 0:00,56,57,0.1563,Public,"F0, HDM F0",Auto,P526115,510254,67
357,,,,,,,,,,86,,,,84,,,,,,,,-2,"2023, YE",12/31/2023 0:00,84,84,0.0034,FHRx,A2,Auto,P0,520234,334
360,,46,,,,51,,,,52,,,,59,,,,,,,,7,"2023, YE",12/31/2023 0:00,59,59,0.1121,FHRx,"A1, GEN 2, HDM F1",Auto, ,140580,
362,,46,,,,51,,,,52,,,,59,,,,,,,,7,"2023, YE",12/31/2023 0:00,59,59,0.1121,FHRX,"A1, GEN 2, HDM F1",Auto,P0,140580,
363,,80,,,,74,,,,55,,,,91,,,,89,,,,-2,"2024, YE",3/31/2024 0:00,89,89,0.001,FHRx,"A1, HDM A1",Auto,P299205,61090,296
366,47,44,31,30,37,37,44,41,28,29,29,35,39,37,37,34,35,37,36,,-1,-1,"2025, Q1",6/30/2024 0:00,36,36,1.4109,Public,"F3, HDM A2",Auto,P806649,061043P,152
332,47,44,31,30,37,37,44,41,28,29,29,35,39,37,37,34,35,37,36,,-1,-1,"2025, Q1",6/30/2024 0:00,36,36,1.4109,Public,F3,Auto,P806649,504855P,
333,34,24,24,25,26,38,37,38,39,49,49,55,64,59,59,56,56,64,68,,4,9,"2025, Q1",6/30/2024 0:00,68,70,0.039,Public,"F0, HDM F2",Auto,P940842,512737,66
368,57,61,65,63,66,68,71,71,66,61,61,63,63,72,69,67,62,60,62,,2,-7,"2025, Q1",6/30/2024 0:00,62,62,0.0798,Public,F0,Auto,P963196,520349,26
369,38,42,39,38,38,47,52,57,54,53,51,49,50,49,49,48,50,57,59,,2,10,"2025, Q1",6/30/2024 0:00,59,59,0.1121,Public,A1,Auto,P378225,511497,116
370,34,35,35,35,33,31,35,34,34,34,33,33,33,33,35,35,35,35,34,,-1,-1,"2025, Q1",6/30/2024 0:00,34,34,1.784,Public,"F0, HDM F2",Auto,P875711,91034,307
372,34,35,35,35,33,31,35,34,34,34,33,33,33,33,35,35,35,35,34,,-1,-1,"2025, Q1",6/30/2024 0:00,34,34,1.784,Public,"F0, CommonAuto",Auto,P875711,210560,
371,56,64,42,35,50,53,67,61,50,50,36,49,53,61,72,75,80,75,75,,,3,"2025, Q1",6/30/2024 0:00,75,77,0.0153,Public,"F3, HDM F1",Auto,P838363,511432,105
374,73,80,82,83,83,81,79,80,82,80,83,83,84,87,87,86,,,,,-1,3,"2024, Q2",6/30/2024 0:00,86,86,0.0022,Public,F2,Auto,P478748,519734,99
375,73,80,82,83,83,81,79,80,82,80,83,83,84,87,87,86,,,,,-1,3,"2024, Q2",6/30/2024 0:00,86,86,0.0022,Public,F2,Auto,P478748,577435,
376,86,88,89,89,89,88,88,85,85,86,87,86,87,86,88,87,,,,,-1,1,"2024, Q2",6/29/2024 0:00,87,87,0.0017,Public,F0,Auto,P857738,510111,
386,,32,,,,28,,32,,42,,46,,37,38,,,,,,1,,"2024, Q1",3/31/2024 0:00,38,38,1.1216,FHRx,A3,Auto,P0,510060,
390,87,89,89,91,91,88,87,85,85,85,85,86,87,88,88,87,,,,,-1,1,"2024, Q2",6/30/2024 0:00,87,87,0.0017,Public,"F0, F2, HDM F2",Auto,P753990,510176,7
393,71,77,83,89,88,86,81,74,61,52,55,58,57,61,60,68,,,,,8,10,"2024, Q2",6/30/2024 0:00,68,71,0.039,Public,"A3, F0",Auto,P402817,511595,28
394,,45,,70,,67,,64,,68,,72,,72,,65,,,,,,-7,"2024, Q2",6/30/2024 0:00,65,65,0.0562,Public,F2,Auto,P505529,585824,119
397,,45,,70,,67,,64,,68,,72,,72,,65,,,,,,-7,"2024, Q2",6/30/2024 0:00,65,65,0.0562,Public,A2,Auto,P505529,515839,
396,,87,,,,55,,,,75,71,36,,36,53,67,,,,,14,31,"2024, Q2",6/30/2024 0:00,67,67,0.0441,FHRx,A3,Auto,P249920,70780,169
398,,87,,,,55,,,,75,71,36,,36,53,67,,,,,14,31,"2024, Q2",6/30/2024 0:00,67,67,0.0441,FHRx,"A3, HDM A1",Auto,P249920,586513,
399,25,29,31,35,34,39,37,39,37,30,28,27,28,27,28,25,,,,,-3,-2,"2024, Q2",6/30/2024 0:00,25,28,5.5789,Public,"F3, HDM F3",Auto,P894700,70260,5
406,31,32,37,40,37,31,31,31,30,30,31,31,33,34,38,38,,,,,0,7,"2024, Q2",6/30/2024 0:00,38,38,1.1216,Public,A3,Auto,P917572,230140P,
409,75,74,,66,42,60,77,,,50,,,,80,,,,,,,,30,"2023, YE",12/31/2023 0:00,80,80,0.007,FHRx,"F3, HDM F3",Auto,P651643,510622,258
410,,26,,26,21,20,19,22,18,19,23,27,35,28,25,24,,,,,-1,-3,"2024, Q2",6/30/2024 0:00,24,24,6.4025,FHRx,"A1, PU, HDM A1",Auto,P498884,70970,
411,,,,,,,,,,15,,,,15,,,,17,,,,2,"2024, YE",3/31/2024 0:00,17,17,18.111,FHRx,"F2, HDM F2",Auto,P273712,70920,
414,,19,,,,20,,,,16,,,,16,,,,,,,,0,"2023, YE",3/31/2023 0:00,16,16,21.2071,FHRx,"A2, A3, F2, HDM A3",Auto,P374158,70740,290
415,,35,,61,,37,,,38,32,38,35,28,33,30,,,,,,-3,-8,"2024, Q1",3/31/2024 0:00,30,30,2.9043,FHRx,A3,Auto,P165622,511807,218
423,,35,,61,,37,,,38,32,38,35,28,33,30,,,,,,-3,-8,"2024, Q1",3/31/2024 0:00,30,30,2.9043,FHRx,A3,Auto,P165622,511807,218
425,,35,,61,,37,,,38,32,38,35,28,33,30,,,,,,-3,-8,"2024, Q1",3/31/2024 0:00,30,30,2.9043,FHRx,A3,Auto,P165622,516967,
419,,35,,61,,37,,,38,32,38,35,28,33,30,,,,,,-3,-8,"2024, Q1",3/31/2024 0:00,30,30,2.9043,FHRx,A3,Auto,P165622,519119,
421,,35,,61,,37,,,38,32,38,35,28,33,30,,,,,,-3,-8,"2024, Q1",3/31/2024 0:00,30,30,2.9043,FHRx,"A3, F0",Auto,P165622,579370,
422,45,44,47,48,44,,,55,53,66,,,,47,,,,,,,,-19,"2023, YE",12/31/2023 0:00,47,47,0.4149,FHRx,A3,Auto,P985112,511431,263
427,74,68,58,61,66,70,77,75,70,68,68,73,75,77,77,76,80,81,81,,0,4,"2025, Q1",6/30/2024 0:00,81,81,0.0059,Public,A2,Auto,P997671,520039P,151
382,74,68,58,61,66,70,77,75,70,68,68,73,75,77,77,76,80,81,81,,0,4,"2025, Q1",6/30/2024 0:00,81,81,0.0059,Public,HDM A2,Auto,P997671,519187,
381,74,68,58,61,66,70,77,75,70,68,68,73,75,77,77,76,80,81,81,,0,4,"2025, Q1",6/30/2024 0:00,81,81,0.0059,Public,PU,Auto,P997671,521764,
384,74,68,58,61,66,70,77,75,70,68,68,73,75,77,77,76,80,81,81,,0,4,"2025, Q1",6/30/2024 0:00,81,81,0.0059,Public,A2,Auto,P997671,521755,
383,74,68,58,61,66,70,77,75,70,68,68,73,75,77,77,76,80,81,81,,0,4,"2025, Q1",6/30/2024 0:00,81,81,0.0059,Public,A2,Auto,P997671,101220P,
379,74,68,58,61,66,70,77,75,70,68,68,73,75,77,77,76,80,81,81,,0,4,"2025, Q1",6/30/2024 0:00,81,81,0.0059,Public,"A2, HDM A2",Auto,P997671,100490,
378,74,68,58,61,66,70,77,75,70,68,68,73,75,77,77,76,80,81,81,,0,4,"2025, Q1",6/30/2024 0:00,81,81,0.0059,Public,A2,Auto,P997671,504865P,
380,,52,,,,66,,,,60,,,,60,,,,,,,,0,"2023, YE",12/31/2023 0:00,60,60,0.1002,FHRx,A2,Auto,P694235,510177,
430,,,,,,71,41,51,,29,,45,,68,,,,,,,,39,"2023, YE",12/31/2023 0:00,68,68,0.039,FHRx,F3,Auto,P651643,513884,250
432,78,82,83,85,84,82,76,74,70,74,78,81,86,89,90,91,,,,,1,10,"2024, Q2",6/30/2024 0:00,91,91,0.001,Public,"F3, HDM F3",Auto,P175859,518614,102
438,55,55,56,65,61,54,51,44,39,40,39,47,42,38,37,31,,,,,-6,-16,"2024, Q2",6/30/2024 0:00,31,31,2.564,Public,A3,Auto,P616528,521193,79
439,,,,,,33,,26,,33,,,,40,,,,,,,,7,"2023, YE",12/31/2023 0:00,40,40,0.8948,FHRx,"A2, A3",Auto,P614718,515655,269
440,40,41,48,49,47,45,43,44,44,46,46,45,43,41,36,32,,,,,-4,-13,"2024, Q2",6/30/2024 0:00,32,36,2.2681,Public,"A2, A3",Auto,P614718,515655P,58
442,50,46,36,34,35,33,34,38,33,29,29,30,30,30,34,38,51,35,34,,-1,0,"2025, Q1",6/30/2024 0:00,34,52,1.784,Public,F0,Auto,P558590,81693,
443,,,,,,,,,,49,,,,24,,,,,,,,-25,"2023, YE",12/31/2023 0:00,24,24,6.4025,FHRx,A3,Auto,P850174,11340,236
447,,,,,,,,,,49,,,,24,,,,,,,,-25,"2023, YE",12/31/2023 0:00,24,24,6.4025,FHRx,A3,Auto,P850174,11340,236
448,84,54,46,56,59,87,88,85,78,70,85,86,82,79,77,83,,,,,6,-3,"2024, Q2",6/30/2024 0:00,83,85,0.0041,Public,"F2, F3",Auto,P722093,521758,94
450,84,54,46,56,59,87,88,85,78,70,85,86,82,79,77,83,,,,,6,-3,"2024, Q2",6/30/2024 0:00,83,85,0.0041,Public,"F0, F3",Auto,P722093,510391,
449,,62,,65,,63,,58,,58,,61,,64,,65,,,,,,4,"2024, Q2",6/30/2024 0:00,65,67,0.0562,Public,A2,Auto,P712635,80480,37
451,79,85,89,78,80,64,28,33,,38,,61,,93,,,,,,,,55,"2023, YE",12/31/2023 0:00,93,93,0.001,FHRx,"A2, A3, HDM F3",Auto,P0,150460,
453,,31,,,,30,,,,22,,,,39,,,,,,,,17,"2023, YE",12/31/2023 0:00,39,40,1.0013,FHRx,F0,Auto,P163256,583017,134
454,46,49,43,46,38,32,32,30,29,30,34,25,27,22,20,32,,,,,12,7,"2024, Q2",6/30/2024 0:00,32,40,2.2681,Public,GEN 2,Auto,P183401,584422,95
455,68,35,93,85,89,90,91,89,87,91,,,,90,,,,,,,,-1,"2023, YE",12/31/2023 0:00,90,90,0.001,FHRx,F0,Auto,P880199,578242,266
458,,51,,,,18,,,,18,,,,18,,,,,,,,0,"2023, YE",3/31/2023 0:00,18,18,15.489,FHRx,A2,Auto,P0,81518,317
465,59,57,54,55,63,54,49,50,49,47,48,47,46,48,49,49,50,,,,1,4,"2024, Q3",7/31/2024 0:00,50,58,0.3,Public,"F2, HDM F2",Auto,P685389,81120,
460,59,57,54,55,63,54,49,50,49,47,48,47,46,48,49,49,50,,,,1,4,"2024, Q3",7/31/2024 0:00,50,58,0.3,Public,HDM F2,Auto,P685389,82970,
461,,,,,,,,,,55,,,,84,,,,90,,,,6,"2024, YE",3/31/2024 0:00,90,90,0.001,FHRx,"F3, PU, HDM F3",Auto,P689834,505611,304
471,,,,,,78,,,,68,,,,82,,,,93,,,,11,"2024, YE",3/31/2024 0:00,93,93,0.001,FHRx,"A1, F0, F3, PU, HDM F1",Auto,P689834,90580,
473,,,,,,65,,,,31,,,,36,36,,,,,,0,,"2024, Q1",6/30/2023 0:00,36,36,1.4109,FHRx,"F0, F3, HDM F3",Auto,P689834,191720,262
474,,,,,,,,,,18,,,,17,,18,26,55,,,29,38,"2024, YE",3/31/2024 0:00,55,55,0.1744,FHRx,F3,Auto,P689834,593832,222
476,48,46,46,41,45,47,47,46,46,49,46,46,46,53,52,52,60,60,57,,-3,5,"2025, Q1",6/30/2024 0:00,57,56,0.14,Public,"A1, F0, PU, HDM F1",Auto,P689834,81160,16
487,48,46,46,41,45,47,47,46,46,49,46,46,46,53,52,52,60,60,57,,-3,5,"2025, Q1",6/30/2024 0:00,57,56,0.14,Public,"F3, PU, HDM F3",Auto,P689834,505611P,
491,48,46,46,41,45,47,47,46,46,49,46,46,46,53,52,52,60,60,57,,-3,5,"2025, Q1",6/30/2024 0:00,57,56,0.14,Public,PU,Auto,P689834,591484,
496,48,46,46,41,45,47,47,46,46,49,46,46,46,53,52,52,60,60,57,,-3,5,"2025, Q1",6/30/2024 0:00,57,56,0.14,Public,"A1, F3, HDM F3",Auto,P689834,60750,
486,48,46,46,41,45,47,47,46,46,49,46,46,46,53,52,52,60,60,57,,-3,5,"2025, Q1",6/30/2024 0:00,57,56,0.14,Public,"A1, F0, F3, PU, HDM F1",Auto,P689834,090580P,
488,48,46,46,41,45,47,47,46,46,49,46,46,46,53,52,52,60,60,57,,-3,5,"2025, Q1",6/30/2024 0:00,57,56,0.14,Public,CommonAuto,Auto,P689834,197270,
483,48,46,46,41,45,47,47,46,46,49,46,46,46,53,52,52,60,60,57,,-3,5,"2025, Q1",6/30/2024 0:00,57,56,0.14,Public,HDM F3,Auto,P689834,519485,
493,48,46,46,41,45,47,47,46,46,49,46,46,46,53,52,52,60,60,57,,-3,5,"2025, Q1",6/30/2024 0:00,57,56,0.14,Public,"A1, HDM F1",Auto,P689834,519728,
494,48,46,46,41,45,47,47,46,46,49,46,46,46,53,52,52,60,60,57,,-3,5,"2025, Q1",6/30/2024 0:00,57,56,0.14,Public,"F3, PU",Auto,P689834,21500,
485,48,46,46,41,45,47,47,46,46,49,46,46,46,53,52,52,60,60,57,,-3,5,"2025, Q1",6/30/2024 0:00,57,56,0.14,Public,"F0, F3, HDM F3",Auto,P689834,191720P,
489,48,46,46,41,45,47,47,46,46,49,46,46,46,53,52,52,60,60,57,,-3,5,"2025, Q1",6/30/2024 0:00,57,56,0.14,Public,F3,Auto,P689834,593832P,
497,47,44,43,59,57,56,57,51,56,48,52,53,49,50,53,53,,,,,0,0,"2024, Q2",6/30/2024 0:00,53,53,0.2168,Public,F3,Auto,P749460,521423,109
499,,,,,,20,,,,19,,,19,19,19,,,,,,0,,"2024, Q1",3/31/2024 0:00,19,19,13.2796,FHRx,"A3, F0, F2, HDM F2",Auto,P232091,81330,
501,,41,,,,55,,,,57,,,,72,,,,,,,,15,"2023, YE",12/31/2023 0:00,72,72,0.0233,FHRx,GEN 2,Auto,P0,583800,
502,80,,,,78,79,91,86,78,80,,,,85,,,83,83,,,0,-2,"2024, YE",3/31/2024 0:00,83,83,0.0041,FHRx,"F3, HDM F3",Auto,P100539,516061,221
508,59,60,52,55,58,67,67,65,65,67,67,67,69,65,65,64,64,66,64,,-2,-1,"2025, Q1",6/30/2024 0:00,64,64,0.0632,Public,F3,Auto,P713816,195380,
512,40,48,32,36,46,54,65,51,38,33,30,33,35,36,38,36,30,33,32,,-1,-6,"2025, Q1",6/30/2024 0:00,32,32,2.2681,Public,A2,Auto,P785357,504860P,128
435,40,48,32,36,46,54,65,51,38,33,30,33,35,36,38,36,30,33,32,,-1,-6,"2025, Q1",6/30/2024 0:00,32,32,2.2681,Public,"A2, HDM A2",Auto,P785357,110310P,
433,40,48,32,36,46,54,65,51,38,33,30,33,35,36,38,36,30,33,32,,-1,-6,"2025, Q1",6/30/2024 0:00,32,32,2.2681,Public,A2,Auto,P785357,111450P,
434,,39,,,,37,,42,,32,,,,62,,,,,,,,30,"2023, YE",12/31/2023 0:00,62,62,0.0798,FHRx,A3,Auto,P345623,519486,208
516,,71,,,,66,,,,39,,,61,89,,,,,,,28,50,"2023, YE",12/31/2023 0:00,89,89,0.001,FHRx,A3,Auto,P718396,521093,303
519,19,22,60,54,42,33,21,21,23,42,,,,56,,,,,,,,14,"2023, YE",12/31/2023 0:00,56,56,0.1563,FHRx,A2,Auto,P347042,514549,230
524,39,26,25,25,26,37,56,54,57,59,63,64,55,48,37,39,48,52,58,,6,21,"2025, Q1",6/30/2024 0:00,58,62,0.1253,Public,A0,Auto,P475688,90210,
526,39,40,38,39,37,36,43,48,54,58,51,54,52,47,41,24,25,28,30,,2,-11,"2025, Q1",6/30/2024 0:00,30,30,2.9043,Public,A1,Auto,P255111,520462,40
527,86,86,86,87,87,84,83,82,83,84,83,85,85,85,84,85,,,,,1,0,"2024, Q2",6/30/2024 0:00,85,85,0.0027,Public,CommonAuto,Auto,P260470,518087,11
530,86,86,86,87,87,84,83,82,83,84,83,85,85,85,84,85,,,,,1,0,"2024, Q2",6/30/2024 0:00,85,85,0.0027,Public,A3,Auto,P260470,585637,
538,86,86,86,87,87,84,83,82,83,84,83,85,85,85,84,85,,,,,1,0,"2024, Q2",6/30/2024 0:00,85,85,0.0027,Public,A3,Auto,P260470,510630,
535,86,86,86,87,87,84,83,82,83,84,83,85,85,85,84,85,,,,,1,0,"2024, Q2",6/30/2024 0:00,85,85,0.0027,Public,CommonAuto,Auto,P260470,510384,
529,86,86,86,87,87,84,83,82,83,84,83,85,85,85,84,85,,,,,1,0,"2024, Q2",6/30/2024 0:00,85,85,0.0027,Public,F3,Auto,P260470,518076,
536,86,86,86,87,87,84,83,82,83,84,83,85,85,85,84,85,,,,,1,0,"2024, Q2",6/30/2024 0:00,85,85,0.0027,Public,CommonAuto,Auto,P260470,510265,
528,86,86,86,87,87,84,83,82,83,84,83,85,85,85,84,85,,,,,1,0,"2024, Q2",6/30/2024 0:00,85,85,0.0027,Public,"A1, HDM A1",Auto,P260470,90600,
532,,30,,,,22,,,,17,,15,,21,,25,,,,,,10,"2024, Q2",6/30/2024 0:00,25,25,5.5789,FHRx,A3,Auto,P986434,92210,
540,75,72,64,61,59,56,64,67,66,57,55,49,47,47,46,52,53,50,57,,7,11,"2025, Q1",6/30/2024 0:00,57,57,0.14,Public,A3,Auto,P986434,092210P,162
542,,43,,35,,38,34,,,32,36,35,,44,,,,,,,,12,"2023, YE",12/31/2023 0:00,44,44,0.5751,FHRx,F2,Auto,P793389,517200,166
543,78,73,76,39,35,35,38,53,,34,,80,,82,,,,,,,,48,"2023, YE",12/31/2023 0:00,82,82,0.0049,FHRx,F3,Auto,P651643,515030,252
544,,,,,,,,,,43,,,,74,,,,84,,,,10,"2024, YE",3/31/2024 0:00,84,84,0.0034,FHRx,"A1, HDM A1",Auto,P906054,500907,323
545,,,,,,26,,,25,26,33,,28,28,25,,,,,,-3,-8,"2024, Q1",3/31/2024 0:00,25,25,5.5789,FHRx,F0,Auto,P0,517652,
551,,,,,,29,,,,28,,36,36,51,,,,,,,15,23,"2023, YE",12/31/2023 0:00,51,51,0.2693,FHRx,"A3, F2",Auto,P0,518688,272
553,,68,,,,28,,,,23,24,31,30,33,,37,,,,,,6,"2024, Q2",6/30/2024 0:00,37,37,1.257,FHRx,A3,Auto,P0,92140,168
555,,68,,,,28,,,,23,24,31,30,33,,37,,,,,,6,"2024, Q2",6/30/2024 0:00,37,37,1.257,FHRx,A3,Auto,P0,92140,168
554,,22,23,26,,18,,,16,19,20,20,,19,,,,,,,,0,"2023, YE",12/31/2023 0:00,19,19,13.2796,FHRx,"A2, A3, F2",Auto,P179374,30480,167
557,33,34,30,56,61,61,69,64,65,66,54,55,56,55,57,56,,,,,-1,1,"2024, Q2",6/30/2024 0:00,56,57,0.1563,Public,"F3, HDM F3",Auto,P666906,33298,75
564,74,80,79,72,73,,,,71,69,,,,90,,,,,,,,21,"2023, YE",12/31/2023 0:00,90,90,0.001,FHRx,"A1, HDM A1",Auto,P656881,519217,232
565,70,55,56,58,73,74,68,68,69,71,72,73,77,78,71,71,,,,,0,-2,"2024, Q2",6/29/2024 0:00,71,72,0.0266,Public,F3,Auto,P530480,583868,
569,,87,,,,89,,,,90,,,,90,,,,90,,,,0,"2024, YE",3/31/2024 0:00,90,90,0.001,FHRx,F0,Auto,P0,580135,319
570,,,,,,65,,,,73,,,,65,,,,79,,,,14,"2024, YE",1/31/2024 0:00,79,79,0.0083,FHRx,"A1, HDM A1",Auto,P0,90752,
572,,,58,55,27,21,22,,,18,,17,,19,18,,,,,,-1,,"2024, Q1",3/31/2024 0:00,18,18,15.489,FHRx,A1,Auto,P486151,592413,241
574,,28,,,46,45,,34,,36,47,70,,78,,,,,,,,42,"2023, YE",12/30/2023 0:00,78,78,0.0097,FHRx,"F2, HDM F3",Auto,P735802,506128,173
576,75,75,70,68,66,67,68,72,74,74,75,76,77,77,75,76,76,67,67,,0,-8,"2025, Q1",6/30/2024 0:00,67,68,0.0441,Public,"F0, PU, HDM F2",Auto,P788967,500044,68
577,,65,,,,59,,,,44,,,,33,,44,,74,,,,41,"2024, YE",3/31/2024 0:00,74,74,0.0177,FHRx,A2,Auto,P997671,101220,286
579,,48,,,,,,,,45,,50,,40,,,,41,,,,1,"2024, YE",3/31/2024 0:00,41,41,0.8004,FHRx,A2,Auto,P997671,Consolidated,285
580,,12,,,,16,,,,13,,,,12,,13,,13,,,,1,"2024, YE",3/31/2024 0:00,13,13,34.199,FHRx,A2,Auto,P997671,504865,193
581,15,13,19,19,18,19,25,18,17,21,,,,22,21,,,24,,,,2,"2024, YE",3/31/2024 0:00,24,24,6.4025,FHRx,F2,Auto,P762733,509227,229
584,,51,,53,,65,,59,,51,,52,,57,,61,,62,,,,5,"2024, YE",3/31/2024 0:00,62,63,0.0798,Public,CommonAuto,Auto,P0,510530,65
587,,26,,26,24,21,21,21,22,28,29,33,35,33,33,35,,,,,2,2,"2024, Q2",6/30/2024 0:00,35,35,1.5853,FHRx,"A3, HDM F0",Auto,P718841,200820,175
593,,26,,26,24,21,21,21,22,28,29,33,35,33,33,35,,,,,2,2,"2024, Q2",6/30/2024 0:00,35,35,1.5853,FHRx,A3,Auto,P718841,81456,
592,66,55,41,48,48,59,71,70,65,62,57,61,64,68,68,72,75,73,71,,-2,3,"2025, Q1",6/30/2024 0:00,71,71,0.0266,Public,"F3, HDM F3",Auto,P802994,202460,
598,66,55,41,48,48,59,71,70,65,62,57,61,64,68,68,72,75,73,71,,-2,3,"2025, Q1",6/30/2024 0:00,71,71,0.0266,Public,PU,Auto,P802994,201548,
597,66,55,41,48,48,59,71,70,65,62,57,61,64,68,68,72,75,73,71,,-2,3,"2025, Q1",6/30/2024 0:00,71,71,0.0266,Public,"A1, PU",Auto,P802994,500187,
599,,63,,58,,51,,,,36,36,,37,38,,,,,,,1,2,"2023, YE",12/31/2023 0:00,38,38,1.1216,FHRx,"A1, HDM A1",Auto,P316791,519141,198
601,,40,,,,27,,,,26,,,,15,,19,,21,,,,6,"2024, YE",3/31/2024 0:00,21,21,9.8403,FHRx,"A2, A3, F0, F2, HDM A3",Auto,P0,110480,311
603,,75,,,,,,,,78,,,,87,,,,77,,,,-10,"2024, YE",3/31/2024 0:00,77,77,0.0114,FHRx,A1,Auto,P665516,520159,243
604,68,48,39,35,34,31,31,31,28,29,27,27,28,27,26,27,27,27,25,,-2,-1,"2025, Q1",6/30/2024 0:00,25,27,5.5789,Public,"A2, A3",Auto,P534262,132507P,
607,,,,,,14,,,,14,,,,19,19,,,,,,0,,"2024, Q1",3/31/2024 0:00,19,19,13.2796,FHRx,"A2, A3",Auto,P534262,132507,315
610,28,,,51,,,32,34,,39,49,,72,69,,,,,,,-3,36,"2023, YE",12/31/2023 0:00,69,69,0.0344,FHRx,"A2, F2, HDM F2",Auto,P597444,505510,224
611,45,48,54,52,46,43,39,36,34,34,36,39,41,46,50,50,,,,,0,11,"2024, Q2",6/30/2024 0:00,50,50,0.3,Public,"F3, HDM F3",Auto,P451344,513264,78
616,50,52,59,70,50,60,57,51,,54,56,54,57,62,,,,,,,5,8,"2023, YE",12/31/2023 0:00,62,62,-,Public,A2,Auto,P952783,111330P,
620,39,30,31,31,32,44,48,50,51,49,50,49,48,47,50,57,59,59,59,,0,9,"2025, Q1",6/30/2024 0:00,59,62,0.1121,Public,F3,Auto,P182993,510247,45
624,,67,59,64,74,65,64,64,78,80,,,,79,,,,,,,,-1,"2023, YE",12/31/2023 0:00,79,79,0.0083,FHRx,F3,Auto,P660039,70930,
626,91,90,88,86,87,87,90,89,87,85,82,83,84,83,85,86,86,84,83,,-1,-2,"2025, Q1",6/30/2024 0:00,83,84,0.0041,Public,"F2, HDM F2",Auto,P527391,141350,
628,91,90,88,86,87,87,90,89,87,85,82,83,84,83,85,86,86,84,83,,-1,-2,"2025, Q1",6/30/2024 0:00,83,84,0.0041,Public,"F2, HDM F2",Auto,P527391,519712,
629,,,,,,,,,,49,,,,60,,,,80,,,,20,"2024, YE",3/31/2024 0:00,80,80,0.007,FHRx,"F3, HPE",Auto,P0,110781,
631,,,,,,70,,,,50,,,,37,,,,36,,,,-3,"2024, YE",3/31/2024 0:00,36,36,1.4109,FHRx,F3,Auto,P978153,520298P,318
634,,,,,,70,,,,50,,,,37,,,,36,,,,-3,"2024, YE",3/31/2024 0:00,36,36,1.4109,FHRx,F3,Auto,P978153,520298,
633,,22,,,,22,,,,21,,,,12,,13,,15,,,,3,"2024, YE",3/31/2024 0:00,15,15,24.8648,FHRx,F3,Auto,P978153,16220,302
635,,29,,,,29,28,,,22,,,,28,,,,,,,,6,"2023, YE",12/31/2023 0:00,28,28,3.7449,FHRx,A2,Auto,P393905,519746,181
637,,84,,85,,85,,89,,88,,89,,84,,86,,87,,,,3,"2024, YE",3/31/2024 0:00,87,87,0.0017,Public,F0,Auto,P822987,581283,146
638,,,,,,,,,,12,,,,13,,13,13,13,,,0,0,"2024, YE",3/31/2024 0:00,13,13,34.199,FHRx,A2,Auto,P785357,104479,312
642,,,,,,,,,,12,,,,13,,13,13,13,,,0,0,"2024, YE",3/31/2024 0:00,13,13,34.199,FHRx,A2,Auto,P785357,504860,
643,,,,,,,,,,12,,,,13,,13,13,13,,,0,0,"2024, YE",3/31/2024 0:00,13,13,34.199,FHRx,A2,Auto,P785357,504860P,128
641,,,,,,,,,,26,,,,25,,29,,33,,,,8,"2024, YE",3/31/2024 0:00,33,33,2.0101,FHRx,"A2, HDM A2",Auto,P785357,110310,314
644,,26,,,,30,,25,,19,,,,18,,24,21,26,54,,28,,"2025, Q1",6/30/2024 0:00,54,54,0.1945,FHRx,A2,Auto,P785357,504860P,128
646,,26,,,,30,,25,,19,,,,18,,24,21,26,54,,28,,"2025, Q1",6/30/2024 0:00,54,54,0.1945,FHRx,"A2, HDM A2",Auto,P785357,110310P,
645,,,,,,,,,,33,,,,35,,73,,77,,,,42,"2024, YE",3/31/2024 0:00,77,77,0.0114,FHRx,A2,Auto,P785357,111450,321
647,,66,,,,60,,,,27,,,,47,,,,71,,,,24,"2024, YE",3/31/2024 0:00,71,71,0.0266,FHRx,"A2, A3, F0, F2, HDM A3",Auto,P0,111460,309
648,,44,,,,36,,,,28,,,,21,,,,20,,,,-1,"2024, YE",3/31/2024 0:00,20,20,11.4135,FHRx,A3,Auto,P0,504859,270
649,35,28,30,29,32,64,70,74,73,74,71,71,69,72,71,71,71,66,62,,-4,-9,"2025, Q1",6/30/2024 0:00,62,63,0.0798,Public,F3,Auto,P225016,502569,
