,Vlookup Supplier #,accountsPayable,accountsReceivable,bankCashBalances,bankOverdraft,debitOwnedWithinOneYear,financialAssets,fixedAssets,intangibleAssets,otherCurrentAssets,otherCurrentLiabilities,otherEquity,otherTermAssets,otherTermLiabilities,prepayments,retainedEarnings,subscribedCapital,termLoans,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalInventories,totalLiabilities,totalShareholderEquity,totalTermAssets,totalTermLiabilities,accountPayableAccrualFromCashFlow,capitalExpenditure,changeInInventoriesFromCashFlow,netChangeInCashAndCashEquivalents,netFundingCashFlow,netInvestingCashFlow,unbilledAccountsReceivableRevenueFromCashFlow,currency,financialDate,period,abnormalItems,amortization,companyTaxExpense,costOfGoodsSold,depreciation,earningsBeforeInterestAndTax,grossProfit,interestExpense,interestReceived,investmentIncome,netInvestmentIncome,netProfitAfterTax,netProfitAfterTaxAndMinorityInterests,netProfitBeforeTax,netSurplus,otherIncome,otherInvestmentExpense,otherOperatingExpense,totalOperatingExpense,totalOperatingRevenue,totalStaffCosts,salesRevenue,RRID,id,eqyYear,CHS,FHR
13,33198,,,257.94,,42.279,,2235.735,,,,,,,,,,3212.454,7269.999,2239.888,1185.199,,4930.844,2339.155,,,,,,,-105.734,-630.753,,USD,2023-10-01,Q3,-50.592,,128.8,,,707.36,,131.783,7.85,,,491.175,,,,,,,,,,6821.514,WJG75OJ,2023Q3,2023,63,63
14,33198,,,319.216,,437.21,,2134.542,,,,,,,,,,2716.253,7048.988,2359.876,1519.577,,4749.666,2299.322,,,,,,,-194.184,-341.601,,USD,2023-07-02,Q2,-93.06,,126.273,,,726.365,,125.65,5.825,,,482.619,,,,,,,,,,7001.311,WJG75OJ,2023Q2,2023,64,60
15,33198,,,209.651,,447.601,,2108.848,,,,,,,,,,2717.891,7061.434,2362.327,1609.49,,4855.869,2205.565,,,,,,,-216.615,-328.635,,USD,2023-04-02,Q1,-71.782,,130.132,,,735.982,,115.313,4.667,,,499.637,,,,,,,,,,7209.353,WJG75OJ,2023Q1,2023,66,59
16,33198,,,227.438,,502.44,59.171,2110.647,,,,,,,,,,2719.783,7052.94,2361.254,1743.901,,4980.143,2072.797,,,,,,,1294.201,-1741.436,,USD,2022-12-31,YE,-127.12,,118.509,,,675.396,,101.662,4.621,,,466.98,,,,,,,,,,7250.552,WJG75OJ,2022YE,2022,65,57
17,33198,,,182.238,,416.929,,2027.661,,,,,,,,,,2723.101,6975.646,2411.32,1755.472,,5040.565,1935.081,,,,,,,1320.541,-1685.448,,USD,2022-10-02,Q3,-83.397,,140.824,,,653.22,,84.466,4.183,,,437.556,,,,,,,,,,7013.717,WJG75OJ,2022Q3,2022,65,55
18,33198,,,174.996,,399.025,,2034.067,,,,,,,,,,2727.916,6989.51,2376.484,1745.138,,5053.119,1936.391,,,,,,,1184.05,-1641.662,,USD,2022-07-03,Q2,-62.377,,106.564,,,597.79,,72.505,3.569,,,426.609,,,,,,,,,,6538.694,WJG75OJ,2022Q2,2022,63,54
19,33198,,,151.537,,440.698,,2068.059,,,,,,,,,,2730.146,6955.988,2250.645,1715.005,,5037.057,1918.931,,,,,,,948.912,-1542.703,,USD,2022-04-03,Q1,-67.889,,-56.186,,,515.421,,66.071,5.502,,,-39.397,,,,,,,,,,6008.116,WJG75OJ,2022Q1,2022,43,35
20,505724,,,1288.0,,445.0,342.0,3878.0,,,,,,,,,,3283.0,14108.0,6004.0,3712.0,,7823.0,6285.0,,,,,,,-472.0,-470.0,,USD,2024-06-30,Q2,-128.0,,223.0,,,1173.0,,69.0,40.0,,,832.0,,,,,,,,,,14342.0,WJG7eBJ,2024Q2,2024,69,82
21,505724,,,1037.0,,445.0,365.0,3903.0,,,,,,,,,,3295.0,14122.0,5957.0,3869.0,,8080.0,6042.0,,,,,,,-530.0,-572.0,,USD,2024-03-31,Q1,-149.0,,360.0,,,1259.0,,73.0,40.0,,,725.0,,,,,,,,,,15259.0,WJG7eBJ,2024Q1,2024,70,81
22,505724,,,1534.0,,73.0,364.0,3926.0,,,,,,,,,,3707.0,14453.0,6217.0,3767.0,,8387.0,6066.0,,,,,,,-437.0,-679.0,,USD,2023-12-31,YE,-88.0,,289.0,,,1188.0,,73.0,35.0,,,702.0,,,,,,,,,,14198.0,WJG7eBJ,2023YE,2023,68,80
