vlookup_supplier_number,eqy_year,period,chs,fhr,opProf_capEmp,opProf_shareEq,opProf_totRev,opProf_totAssets,opProfB4Dep_capEmp,opProfB4Dep_totRev,opProfB4Dep_totAssets,opProfB4Dep_shareEq,grProf_capEmp,grProf_totRev,grProf_totAssets,opProfAftTax_capEmp,opProfAftTax_shareEq,opProfAftTax_totRev,opProfAftTax_totAssets,netProfAftTax_capEmp,netProfAftTax_shareEq,netProfAftTax_totRev,netProfAftTax_totAssets,netProfB4Tax_capEmp,netProfB4Tax_shareEq,netProfB4Tax_totRev,netProfB4Tax_totAssets,cogs_totRev,cogs_totCashOpExp,dep_totRev,dep_totCashOpExp,intExp_totRev,intExp_totCashOpExp,intExp_staffCost,othOpExp_totRev,othOpExp_totCashOpExp,staffCost_totRev,staffCost_totCashOpExp,taxExp_totRev,taxExp_totCashOpExp,opProf_intExp,intExp_totLiab,totRev_inv,totRev_staffCost,opProfAftTax_intExp,termLiab_capEmp,termLiab_totRev,shareEq_totAssets,totLiab_totAssets,currAssets_totAssets,currAssets_totLiab,currLiab_totAssests,currLiab_totLiab,totRev_capEmp,totRev_shareEq,totRev_totAssets,currAssets_currLiab,qAssets_capEmp,qAssets_currAssets,qAssets_currLiab,qAssets_totAssets,qAssets_totRev,workCap_capEmp,workCap_totRev,workCap_totAssets,totRev_workCap,totDebt_totAssets,cash_currLiab,totCashOpExp_currLiab,totCashOpExp_currDebtServ,opProf_currDebtServ,netProf_totAssets,cogs_sales
508398,2024,Q2,65,79,0,0,0,0,0,0,0,0,0,0,0,-0.01353270403475065,-0.023642732049036778,-0.011657192199755344,-0.009861812869057041,0.0776042101745886,0.1355808523058961,0.06684896020723897,0.05655323552687648,0,0,0,0,0,NA,0,NA,0.0059725120529610706,NA,NA,0,NA,0,NA,0.011657192199755344,NA,0,0.00866840731070496,NA,NA,-1.951807228915663,0,0,0.41711815912826444,0.5828818408717356,0.44974736713946556,0.7715926892950391,0.2712607292871492,0.46537859007832894,1.1608888146353689,2.0281669585522475,0.8459852681560844,1.6579892280071815,0.6171581321527024,1,1.6579892280071815,0.44974736713946556,0.531625530690077,0.24492523598696855,0.2109807872202634,0.17848663785231633,4.739768076398362,0.2712607292871492,0.31665170556552963,0,0,0,0.05655323552687648,0
508398,2024,Q1,65,79,0,0,0,0,0,0,0,0,0,0,0,-0.013728263582660789,-0.02380608858750541,-0.011961722488038277,-0.010052394297550872,0.07754388884266579,0.13446833068821237,0.0675656082354647,0.056780796880711595,0,0,0,0,0,NA,0,NA,0.00558213716108453,NA,NA,0,NA,0,NA,0.011961722488038277,NA,0,0.008119793314352,NA,NA,-2.142857142857143,0,0,0.42226148409894,0.5777385159010602,0.4497380285122457,0.7784456395655384,0.2677592299256732,0.46346093008541595,1.147682835510442,1.9901890059154521,0.8403801632752529,1.6796359499431175,0.6141941925284967,1,1.6796359499431175,0.4497380285122457,0.535160214586052,0.24852317164489568,0.21654342467739604,0.1819787985865725,4.618011382658184,0.2677592299256732,0.3335608646188851,0,0,0,0.056780796880711595,0
508398,2023,YE,65,80,0,0,0,0,0,0,0,0,0,0,0,-0.013223272960410322,-0.023615285530270504,-0.012058759044069283,-0.009788799240626483,0.07389004648180797,0.13195935308429943,0.06738288387049624,0.05469862363550071,0,0,0,0,0,NA,0,NA,0.005627420887232333,NA,NA,0,NA,0,NA,0.012058759044069283,NA,0,0.007802208937075692,NA,NA,-2.142857142857143,0,0,0.41451115329852867,0.5854888467014713,0.46392975794969143,0.792380180362752,0.25972947318462264,0.44361130813658933,1.0965699631351178,1.9583512237011593,0.8117584242999525,1.786203746002741,0.6267029972752043,1,1.786203746002741,0.46392975794969143,0.5715120953007381,0.27584548805898373,0.2515530219980998,0.2042002847650688,3.975305055200465,0.25972947318462264,0.4981726815897671,0,0,0,0.05469862363550071,0
508398,2023,Q3,66,81,0,0,0,0,0,0,0,0,0,0,0,-0.01363073110285006,-0.02334795528512806,-0.012288672078647502,-0.010004850836769342,0.07839735646427096,0.1342861185793123,0.07067848365234229,0.057543051176327915,0,0,0,0,0,NA,0,NA,0.005138899232888955,NA,NA,0,NA,0,NA,0.012288672078647502,NA,0,0.007320954907161804,NA,NA,-2.391304347826087,0,0,0.4285107931118118,0.5714892068881882,0.45991996119330586,0.8047745358090187,0.2660077613388309,0.4654641909814324,1.1092110698058653,1.899957549172209,0.8141523162745573,1.7289719626168227,0.6266005782734406,1,1.7289719626168227,0.45991996119330586,0.5649065316154018,0.26418835192069395,0.2381768079243316,0.19391219985447491,4.198561601000625,0.2660077613388309,0.38089810804650104,0,0,0,0.057543051176327915,0
508398,2023,Q2,66,81,0,0,0,0,0,0,0,0,0,0,0,-0.014237232017217117,-0.02445265851578049,-0.013067922808083877,-0.01043372763117986,0.0749110172998924,0.1286607904464032,0.06875854733323203,0.054898392478010316,0,0,0,0,0,NA,0,NA,0.006154079927062755,NA,NA,0,NA,0,NA,0.013067922808083877,NA,0,0.008570521637921913,NA,NA,-2.123456790123457,0,0,0.42669093114952994,0.5733090688504702,0.46345162268729145,0.8083800656015235,0.26715195632393085,0.46598243572108766,1.0894793477361147,1.871197042934319,0.7984228086138915,1.7347865576748411,0.632397980299644,1,1.7347865576748411,0.46345162268729145,0.5804588968241908,0.26785862097508484,0.2458592919009269,0.19629966636336063,4.067367119901113,0.26715195632393085,0.39736603088101724,0,0,0,0.054898392478010316,0
508398,2023,Q1,64,80,0,0,0,0,0,0,0,0,0,0,0,-0.012475214805023132,-0.021546803652968037,-0.01171269004033509,-0.009211248703715001,0.07105089226701918,0.12271689497716895,0.06670803599131245,0.05246141645824438,0,0,0,0,0,NA,0,NA,0.007291343468817871,NA,NA,0,NA,0,NA,0.01171269004033509,NA,0,0.010015982951518381,NA,NA,-1.606382978723404,0,0,0.42749954248764716,0.5725004575123529,0.46422253400841823,0.8108684070324986,0.2616360641737327,0.45700586041555674,1.065102445472571,1.8396118721461188,0.7864332336973099,1.7743063651200746,0.62871777924653,1,1.7743063651200746,0.46422253400841823,0.5902885510394043,0.27437210839391935,0.25760161340366117,0.20258646983468553,3.8819632640770854,0.2616360641737327,0.4194450920960597,0,0,0,0.05246141645824438,0
508398,2022,YE,64,79,0,0,0,0,0,0,0,0,0,0,0,-0.012199952467717656,-0.021650499086180233,-0.01196674178257829,-0.009451911863990671,0.06828804563099103,0.12118655982004779,0.0669826715362499,0.0529061560179218,0,0,0,0,0,NA,0,NA,0.008314554355427772,NA,NA,0,NA,0,NA,0.01196674178257829,NA,0,0.011655773420479304,NA,NA,-1.439252336448598,0,0,0.4365678512244522,0.5634321487755477,0.458663229607807,0.8140522875816993,0.22525010740808935,0.3997821350762527,1.0194882357601203,1.8092225502600872,0.7898484011538697,2.0362397820163487,0.5920145765665847,1,2.0362397820163487,0.458663229607807,0.5806978009169321,0.3012754495761704,0.29551635713730673,0.23341312219971766,3.3839074414935575,0.22525010740808935,0.5544959128065395,0,0,0,0.0529061560179218,0
508398,2022,Q3,65,80,0,0,0,0,0,0,0,0,0,0,0,-0.013220861383729418,-0.024105294291629695,-0.012982875348466746,-0.010215592880421159,0.06837537513180307,0.12466725820763087,0.06714456391875748,0.05283279017297569,0,0,0,0,0,NA,0,NA,0.01027479091995221,NA,NA,0,NA,0,NA,0.012982875348466746,NA,0,0.014030889710680878,NA,NA,-1.2635658914728682,0,0,0.423790423665079,0.5762095763349211,0.4687891702180998,0.8135740700456819,0.22731260967661068,0.39449641070263214,1.0183307648633304,1.8566992014196981,0.7868513411882677,2.0623104494072235,0.6066996512288102,1,2.0623104494072235,0.4687891702180998,0.5957785742731979,0.31251520804607025,0.30688968538430905,0.2414765605414891,3.2584998702309886,0.22731260967661068,0.5194375516956161,0,0,0,0.05283279017297569,0
508398,2022,Q2,65,80,0,0,0,0,0,0,0,0,0,0,0,-0.012656187021362356,-0.023084840464637556,-0.012593246169888507,-0.009887272498268153,0.06473196291817816,0.11807087193059845,0.0644100425122323,0.05056993513445431,0,0,0,0,0,NA,0,NA,0.010507740434747736,NA,NA,0,NA,0,NA,0.012593246169888507,NA,0,0.014430491297642654,NA,NA,-1.198473282442748,0,0,0.4283015303230682,0.5716984696769318,0.46778764405819007,0.8182419035029742,0.21877952012091442,0.38268341044282883,1.0049979846835952,1.8331127775327158,0.7851250078720322,2.1381692573402415,0.5987908101571947,1,2.1381692573402415,0.46778764405819007,0.5958129461779097,0.3187424425634825,0.31715729525948505,0.24900812393727567,3.153009610520991,0.21877952012091442,0.529936672423719,0,0,0,0.05056993513445431,0
508398,2022,Q1,63,80,0,0,0,0,0,0,0,0,0,0,0,-0.011611261332909177,-0.02110741651004771,-0.011676263595649394,-0.009176041732135001,0.061157944965802444,0.11117536504264854,0.06150031989763276,0.04833134309597134,0,0,0,0,0,NA,0,NA,0.010796545105566218,NA,NA,0,NA,0,NA,0.011676263595649394,NA,0,0.015010006671114075,NA,NA,-1.0814814814814815,0,0,0.43473068946012194,0.5652693105398781,0.48042234931808186,0.8498999332888593,0.2097291182200993,0.3710251278630198,0.9944329568951804,1.8077201098742228,0.7858714097165482,2.2906802517231046,0.607921107046286,1,2.2906802517231046,0.48042234931808186,0.6113243761996162,0.3425322093208208,0.3444497760716571,0.27069323109798255,2.903180868353842,0.2097291182200993,0.637099190890021,0,0,0,0.04833134309597134,0
