prev_accountsPayable,prev_accountsReceivable,prev_bankCashBalances,prev_bankOverdraft,prev_debitOwnedWithinOneYear,prev_financialAssets,prev_fixedAssets,prev_intangibleAssets,prev_otherCurrentAssets,prev_otherCurrentLiabilities,prev_otherEquity,prev_otherTermAssets,prev_otherTermLiabilities,prev_prepayments,prev_retainedEarnings,prev_subscribedCapital,prev_termLoans,prev_totalAssets,prev_totalCurrentAssets,prev_totalCurrentLiabilities,prev_totalInventories,prev_totalLiabilities,prev_totalShareholderEquity,prev_totalTermAssets,prev_totalTermLiabilities,prev_accountPayableAccrualFromCashFlow,prev_capitalExpenditure,prev_changeInInventoriesFromCashFlow,prev_netChangeInCashAndCashEquivalents,prev_netFundingCashFlow,prev_netInvestingCashFlow,prev_unbilledAccountsReceivableRevenueFromCashFlow,prev_financialDate,prev_abnormalItems,prev_amortization,prev_companyTaxExpense,prev_costOfGoodsSold,prev_depreciation,prev_earningsBeforeInterestAndTax,prev_grossProfit,prev_interestExpense,prev_interestReceived,prev_investmentIncome,prev_netInvestmentIncome,prev_netProfitAfterTax,prev_netProfitAfterTaxAndMinorityInterests,prev_netProfitBeforeTax,prev_netSurplus,prev_otherIncome,prev_otherInvestmentExpense,prev_otherOperatingExpense,prev_totalOperatingExpense,prev_totalOperatingRevenue,prev_totalStaffCosts,prev_salesRevenue,prev_eqyYear,prev_CHS,prev_FHR,prev_X.Other.Currency.to.USD,prev_inf_factor,diff_days,FHR
3.20397107,6.7105632,3.15214157,0.0,5.45,0.0,19.24915911,0.0,0.99556567,10.9047088,0.0,0.10824027,0.0,0.0,-24.73022629,28.65488901,27.37535,50.85869259,31.50129321,19.55867987,20.64302277,46.93402987,3.92466272,19.35739938,27.37535,0.0,-4.52883446,0.0,-1.16622479,14.17,-4.52883446,1.12391208,2022-03-31,0.0,0.0,0.07765596,66.73487177,2.37627303,-7.47204592,-4.09130301,0.11156695,0.0,0.0457037,-0.09384137,-7.64354325,-7.64354325,-7.56588729,-7.64354325,0.0,0.02797812,1.00446988,3.38074291,62.64356876,0.0,62.64356876,2022.0,14.0,16.0,1.0,1.09,365,20
1.683980142,10.40943105,2.71027467,0.0,0.057585,0.0,20.53889011,0.0,0.742872675,14.22760762,0.0,0.120434316,0.041194215,0.0,-26.51265017,27.52446678,39.58707,56.60925359,35.94992916,15.96917276,22.08735076,55.59743697,1.011816612,20.65932443,39.62826422,0.0,-1.900119681,0.0,-0.317516361,8.11425,-1.898549181,-3.536557647,2023-03-31,0.0,0.0,0.114881028,66.66693452,2.778406101,-2.472830775,0.800174985,0.204128355,0.0,0.033820194,-0.170308161,-2.758019964,-2.758019964,-2.643138936,-2.758019964,0.0,0.0,0.494599659,3.27300576,67.4671095,0.0,67.4671095,2023.0,13.0,20.0,1.0,1.047,366,57
1.557124632,8.128770147,6.471809676,0.0,0.11187,0.0,17.25192425,0.0,0.127321281,6.486952806,0.0,0.119958201,0.005909787,0.0,-24.25663989,26.73580011,38.3409,48.98191745,31.610035,8.155947438,16.8821339,46.50275723,2.479160223,17.37188245,38.34680979,0.0,-3.089449719,4.572341487,3.839193306,-0.055935,-3.089449719,1.982396403,2024-03-31,0.0,0.0,0.107686062,64.56251102,3.026562507,1.335715596,5.204129346,0.0,0.20897316,0.059332797,0.268305957,1.496335491,1.496335491,1.604021553,1.496335491,0.0,0.0,0.841851243,3.86841375,69.76664036,0.0,69.76664036,2024.0,46.0,57.0,1.0,1.017,-183,24
0.0,0.0,129.70564,0.0,8.94236,59.78105,2432.14643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.96489,3162.81049,493.49968,259.02324,0.0,1835.93496,1326.87553,0.0,0.0,0.0,0.0,0.0,0.0,-105.48911,-190.82739,0.0,2022-12-31,0.0,0.0,79.95259,0.0,0.0,425.57851,0.0,39.25744,0.0,0.0,0.0,309.76056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591.62781,2022.0,70.0,82.0,1.0,1.09,365,80
0.0,0.0,241.200531,0.0,85.248834,65.454252,2549.615661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.789773,3394.968696,596.96799,324.315579,0.0,1884.141414,1510.827282,0.0,0.0,0.0,0.0,0.0,0.0,-4.015245,-302.883489,0.0,2023-12-31,0.0,0.0,72.555006,0.0,0.0,395.681193,0.0,39.447819,0.0,0.0,0.0,308.017977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1412.576802,2023.0,66.0,80.0,1.0,1.047,-640,71
0.0,0.0,1.49439,0.0,139.2584,63.10337,2319.89496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.14066,3042.99769,438.60619,406.73895,0.0,1901.61727,1141.38042,0.0,0.0,0.0,0.0,0.0,0.0,-116.94719,-167.79351,0.0,2022-03-31,0.0,0.0,52.79306,0.0,0.0,331.15072,0.0,40.67989,0.0,0.0,0.0,238.10287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.94142,2022.0,72.0,71.0,1.0,1.09,365,80
0.0,0.0,108.97176,0.0,63.714138,60.786726,2397.097077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.604454,3127.81827,475.720155,274.799808,0.0,1804.643751,1323.174519,0.0,0.0,0.0,0.0,0.0,0.0,-55.214592,-255.469047,0.0,2023-03-31,0.0,0.0,72.269175,0.0,0.0,390.33207,0.0,38.197701,0.0,0.0,0.0,287.571114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1491.332142,2023.0,69.0,80.0,1.0,1.047,366,82
0.0,0.0,242.206686,0.0,0.0,67.23387,2500.995213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959.576112,3382.574544,618.278031,212.018058,0.0,1859.653656,1522.920888,0.0,0.0,0.0,0.0,0.0,0.0,-22.370949,-269.285328,0.0,2024-03-31,0.0,0.0,75.056634,0.0,0.0,398.891808,0.0,38.760921,0.0,0.0,0.0,311.250816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.224601,2024.0,66.0,82.0,1.0,1.017,-640,79
0.0,0.0,67.56801,0.0,32.69564,58.37495,2343.41171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.83191,3134.295,513.81401,314.08677,0.0,1917.26313,1217.03187,0.0,0.0,0.0,0.0,0.0,0.0,-118.57892,-184.21218,0.0,2022-06-30,0.0,0.0,72.07734,0.0,0.0,397.90668,0.0,40.06513,0.0,0.0,0.0,285.91899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552.6723,2022.0,71.0,79.0,1.0,1.09,365,80
0.0,0.0,157.655166,0.0,52.556259,62.696454,2425.109562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.666227,3239.403342,548.745264,314.688414,0.0,1848.527709,1390.875633,0.0,0.0,0.0,0.0,0.0,0.0,-57.360942,-266.776647,0.0,2023-06-30,0.0,0.0,66.052089,0.0,0.0,374.613459,0.0,38.935836,0.0,0.0,0.0,283.416618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.078914,2023.0,67.0,80.0,1.0,1.047,366,81
